,Lasso,Ridge,Random Forest,SVR,K Nearest Neighbor
0,6.0919218057124525,6.057775944333664,5.958147921562195,6.078418331669019,6.08556079864502
1,5.961575158684045,5.955265807438517,5.976361165046692,5.9732076506113625,6.085560798645021
2,5.983714393494957,5.96294669867181,5.960640821456909,5.997202518275236,6.08556079864502
3,4.990286418818755,4.9070444865692595,5.021372337341308,4.834332131581055,5.114216804504391
4,5.176169127219764,5.096386595538809,5.179606099128723,5.061118238630348,5.11421680450439
5,5.112841905827366,5.062085269788603,5.2011173057556155,5.015408012509289,5.11421680450439
6,5.725632999719096,5.770889922806473,5.797082939147948,5.738120495213257,5.67427062988281
7,5.654306590371901,5.711484744775238,5.612166795730591,5.692223244980147,5.67427062988281
8,5.713866698961517,5.756131220956904,5.8108779287338255,5.7003012213546125,5.674270629882809
9,6.370781714179423,6.281040713558564,6.361826186180115,6.217755776029554,6.45114898681641
10,6.164771425441608,6.135704379286597,6.0988342952728285,6.049034368126746,6.45114898681641
11,6.297061125057245,6.253362664684827,6.325090403556824,6.194239734749095,6.45114898681641
12,4.992836166559188,5.034700333523036,5.121535956859588,5.035310667081381,4.99828481674194
13,4.650671644185292,4.780969401916117,4.632334880828857,4.784172330377038,4.99828481674194
14,4.900743980449861,4.974199490639721,4.992695145606994,4.970830875159669,4.99828481674194
15,4.941331608196733,5.0239760875236374,4.827129850387573,4.957844979646557,4.93673753738403
16,5.143966812812156,5.195970218004728,4.879370276927948,5.130453268733396,4.93673753738403
17,5.096260734049419,5.180389260660227,4.874631857872009,5.089578852343498,4.93673753738403
18,7.137865553706719,7.1555159043368395,7.216371517181397,7.152373081406273,7.10907649993896
19,7.065463217912199,7.0811940485909535,7.14862850189209,7.040035015081349,7.10907649993896
20,7.09302589147759,7.113284863234497,7.154335479736327,7.093267787177359,7.10907649993896
21,6.148875711154626,6.206523833402014,6.059589104652405,6.217219415821324,5.94225025177002
22,6.249941083369419,6.256423124388258,6.15908046245575,6.2961592899307615,5.94225025177002
23,6.258854583971717,6.2905730159093025,6.257327046394348,6.300478850921882,5.94225025177002
24,5.11388097751083,5.064512882727106,5.166567313671111,5.0227193847208635,5.14412021636963
25,5.516502683497155,5.357027680964525,5.549720907211304,5.306083705639201,5.14412021636963
26,5.312198892285558,5.213662771299933,5.411092362403869,5.132738333576134,5.14412021636963
27,6.271156153386667,6.254377594719609,6.230142025947572,6.2079064868356735,6.35029792785645
28,5.878330003656081,5.95556163161457,6.0974031352996825,5.88360566824918,6.35029792785645
29,6.042627025576259,6.0690714599678115,6.051823859214783,6.033680272744169,6.350297927856449
30,7.596232818082006,7.65332293271789,7.569509778022766,7.627829110713156,7.693003177642819
31,7.521276884594467,7.5827139210977315,7.5613808345794675,7.550393697518194,7.693003177642819
32,7.597910770391519,7.689522040402722,7.517398171424865,7.6640896237442515,7.69300317764282
33,5.873955425380743,5.869984505485893,5.725088086128235,5.90644430079397,6.00423717498779
