,Target Score
0,6.44106721878052
1,6.77580547332764
2,6.46838712692261
3,6.58226013183594
4,6.67111444473267
5,6.69713068008423
6,6.42722129821777
7,6.03933000564575
13,4.85848140716553
14,4.98564910888672
15,4.7244439125061
16,4.66016101837158
17,4.63556480407715
18,4.63347387313843
19,4.5561408996582
20,4.3097710609436
26,5.78062009811401
27,5.77887439727783
28,6.0188946723938
29,5.76742887496948
30,5.8647985458374
31,5.83432912826538
32,5.76972341537476
33,5.65055274963379
39,6.83733129501343
40,7.03781652450562
41,6.66000366210938
42,7.14028263092041
43,6.98099899291992
44,6.54689693450928
45,6.37481737136841
46,6.3329291343689
52,4.14107227325439
53,4.16122531890869
54,3.89870691299438
55,3.67446684837341
56,3.88330554962158
57,4.16216468811035
58,4.46125936508179
59,4.58584213256836
65,4.55425691604614
66,4.43388509750366
67,4.24463415145874
68,4.27103805541992
69,4.24044132232666
70,5.03796482086182
71,4.81623220443726
72,5.07405138015747
78,7.65034627914429
79,7.42605352401733
80,7.41514444351196
81,7.59379386901855
82,7.30425786972046
83,7.41277265548706
84,7.24484586715698
85,7.41486835479736
91,6.63565587997437
92,6.52633476257324
93,6.59912872314453
94,6.74015378952026
95,6.84423828125
96,6.53274965286255
97,6.57905626296997
98,6.32011938095093
104,4.65273666381836
105,5.03720760345459
106,5.09491729736328
107,5.24109029769897
108,5.19561910629272
109,5.30387783050537
110,5.32495594024658
111,5.09906148910522
117,6.40811347961426
118,6.46395254135132
119,6.37487983703613
120,6.60655069351196
121,6.44878911972046
122,6.38757181167603
123,6.23371505737305
124,6.15734195709229
130,7.77051544189453
131,7.78823184967041
132,7.51990938186646
133,7.58860683441162
134,7.50755929946899
135,7.5144248008728
136,7.5577826499939
137,7.59370231628418
143,4.73502111434937
144,5.39653539657593
145,4.75331115722656
146,5.01551532745361
147,5.38733196258545
148,5.06186246871948
149,5.23869848251343
150,5.60520267486572
156,5.83805131912231
157,5.79508829116821
158,5.96071624755859
159,6.01920604705811
160,5.94585180282593
161,5.96407508850098
162,6.11543750762939
163,5.83951854705811
169,4.66891622543335
170,4.17415857315063
171,4.20415687561035
172,3.55852031707764
173,4.88507270812988
174,4.76253843307495
175,4.55674076080322
176,3.92934417724609
182,6.73991107940674
183,4.74129486083984
184,5.93437147140503
185,6.32506322860718
186,5.85652351379395
187,6.01849603652954
188,6.13982486724854
189,6.33931827545166
195,4.10183715820312
196,4.20303058624268
197,4.25444555282593
198,4.34892082214355
199,4.28750801086426
200,4.12194061279297
201,4.44838619232178
202,4.45077466964722
208,6.72453117370605
209,6.62131214141846
210,6.70236206054688
211,6.96512508392334
212,6.98421430587769
213,7.03713750839233
214,6.87376308441162
215,7.07432460784912
221,4.60625171661377
222,5.60819959640503
223,5.05726194381714
224,4.96505308151245
225,3.86035108566284
226,3.98591613769531
227,4.51441144943237
228,5.48131084442139
234,4.98927736282349
235,4.63487148284912
236,4.72014665603638
237,4.42778873443604
238,4.42437934875488
239,4.34207916259766
240,4.17917728424072
241,4.04611110687256
247,7.35891628265381
248,7.43314790725708
249,7.1108546257019
250,7.32056331634521
251,7.40057039260864
252,7.07941102981567
253,7.159010887146
254,7.33103609085083
260,6.35423803329468
261,6.05708646774292
262,5.83931398391724
263,6.00937366485596
264,6.0265851020813
265,5.84768390655518
266,5.95452404022217
267,6.19887018203735
273,6.05675268173218
274,6.26279354095459
275,5.96821641921997
276,5.95936155319214
277,5.92262077331543
278,5.87968444824219
279,5.95465087890625
280,5.9106764793396
286,5.56994247436523
287,5.53932762145996
288,5.13199615478516
289,5.17195272445679
