,Country,Target Year,Population lag 5 years,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 5 years,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 5 years,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 5 years,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 5 years,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 5 years,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
22,Bolivia,2010,9232301.0,9395449.0,9558438.0,9721457.0,9884790.0,10048597.0,65.312,65.853,66.395,66.937,67.476,68.007,9549077919.0,11451869202.0,13120183208.0,16674324662.0,17339992194.0,19649631308.0,1034.311806,1218.874074,1372.628374,1715.208395,1754.209467,1955.460181,252115175.0,263662889.0,276325429.0,289879151.0,304108591.0,319534555.0,5.62841939926147,5.29787254333496,6.08557939529419,5.78062009811401,5.77887439727783
23,Bolivia,2011,9395449.0,9558438.0,9721457.0,9884790.0,10048597.0,10212951.0,65.853,66.395,66.937,67.476,68.007,68.521,11451869202.0,13120183208.0,16674324662.0,17339992194.0,19649631308.0,23963033429.0,1218.874074,1372.628374,1715.208395,1754.209467,1955.460181,2346.337844,263662889.0,276325429.0,289879151.0,304108591.0,319534555.0,336526971.0,5.29787254333496,6.08557939529419,5.78062009811401,5.77887439727783,6.0188946723938
24,Bolivia,2012,9558438.0,9721457.0,9884790.0,10048597.0,10212951.0,10377677.0,66.395,66.937,67.476,68.007,68.521,69.01,13120183208.0,16674324662.0,17339992194.0,19649631308.0,23963033429.0,27084497482.0,1372.628374,1715.208395,1754.209467,1955.460181,2346.337844,2609.880562,276325429.0,289879151.0,304108591.0,319534555.0,336526971.0,354305885.0,6.08557939529419,5.78062009811401,5.77887439727783,6.0188946723938,5.76742887496948
25,Bolivia,2013,9721457.0,9884790.0,10048597.0,10212951.0,10377677.0,10542375.0,66.937,67.476,68.007,68.521,69.01,69.468,16674324662.0,17339992194.0,19649631308.0,23963033429.0,27084497482.0,30659338886.0,1715.208395,1754.209467,1955.460181,2346.337844,2609.880562,2908.200371,289879151.0,304108591.0,319534555.0,336526971.0,354305885.0,373399755.0,5.78062009811401,5.77887439727783,6.0188946723938,5.76742887496948,5.8647985458374
26,Bolivia,2014,9884790.0,10048597.0,10212951.0,10377677.0,10542375.0,10706517.0,67.476,68.007,68.521,69.01,69.468,69.891,17339992194.0,19649631308.0,23963033429.0,27084497482.0,30659338886.0,32996188017.0,1754.209467,1955.460181,2346.337844,2609.880562,2908.200371,3081.878824,304108591.0,319534555.0,336526971.0,354305885.0,373399755.0,394116472.0,5.77887439727783,6.0188946723938,5.76742887496948,5.8647985458374,5.83432912826538
27,Bolivia,2015,10048597.0,10212951.0,10377677.0,10542375.0,10706517.0,10869732.0,68.007,68.521,69.01,69.468,69.891,70.277,19649631308.0,23963033429.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,1955.460181,2346.337844,2609.880562,2908.200371,3081.878824,3035.971655,319534555.0,336526971.0,354305885.0,373399755.0,394116472.0,415394141.0,6.0188946723938,5.76742887496948,5.8647985458374,5.83432912826538,5.76972341537476
33,Brazil,2010,186127108.0,188167353.0,190130445.0,192030362.0,193886505.0,195713637.0,75.0,71.0,71.4,71.8,72.0,72.7,891634000000.0,1107630000000.0,1397110000000.0,1695860000000.0,1667000000000.0,2208840000000.0,4790.456566,5886.391522,7348.187963,8831.183643,8597.794335,11286.07154,9225451782.0,9594322782.0,9984895782.0,10397533782.0,10787308782.0,11227577782.0,6.3206729888916,6.69142484664917,7.00083160400391,6.83733129501343,7.03781652450562
34,Brazil,2011,188167353.0,190130445.0,192030362.0,193886505.0,195713637.0,197514541.0,71.0,71.4,71.8,72.0,72.7,73.0,1107630000000.0,1397110000000.0,1695860000000.0,1667000000000.0,2208840000000.0,2616160000000.0,5886.391522,7348.187963,8831.183643,8597.794335,11286.07154,13245.38737,9594322782.0,9984895782.0,10397533782.0,10787308782.0,11227577782.0,11690157782.0,6.69142484664917,7.00083160400391,6.83733129501343,7.03781652450562,6.66000366210938
35,Brazil,2012,190130445.0,192030362.0,193886505.0,195713637.0,197514541.0,199287292.0,71.4,71.8,72.0,72.7,73.0,73.3,1397110000000.0,1695860000000.0,1667000000000.0,2208840000000.0,2616160000000.0,2465230000000.0,7348.187963,8831.183643,8597.794335,11286.07154,13245.38737,12370.22325,9984895782.0,10397533782.0,10787308782.0,11227577782.0,11690157782.0,12188466782.0,7.00083160400391,6.83733129501343,7.03781652450562,6.66000366210938,7.14028263092041
36,Brazil,2013,192030362.0,193886505.0,195713637.0,197514541.0,199287292.0,201035904.0,71.8,72.0,72.7,73.0,73.3,73.4,1695860000000.0,1667000000000.0,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,8831.183643,8597.794335,11286.07154,13245.38737,12370.22325,12300.38671,10397533782.0,10787308782.0,11227577782.0,11690157782.0,12188466782.0,12720884782.0,6.83733129501343,7.03781652450562,6.66000366210938,7.14028263092041,6.98099899291992
37,Brazil,2014,193886505.0,195713637.0,197514541.0,199287292.0,201035904.0,202763744.0,72.0,72.7,73.0,73.3,73.4,73.6,1667000000000.0,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,2456040000000.0,8597.794335,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,10787308782.0,11227577782.0,11690157782.0,12188466782.0,12720884782.0,13278785782.0,7.03781652450562,6.66000366210938,7.14028263092041,6.98099899291992,6.54689693450928
38,Brazil,2015,195713637.0,197514541.0,199287292.0,201035904.0,202763744.0,204471759.0,72.7,73.0,73.3,73.4,73.6,73.8,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,2456040000000.0,1802210000000.0,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,11227577782.0,11690157782.0,12188466782.0,12720884782.0,13278785782.0,13808138782.0,6.66000366210938,7.14028263092041,6.98099899291992,6.54689693450928,6.37481737136841
44,Cambodia,2010,13273355.0,13477705.0,13679953.0,13883835.0,14093605.0,14312205.0,57.7,58.5,59.3,63.0,61.5,62.9,6293046162.0,7274595707.0,8639235842.0,10351914093.0,10401851851.0,11242275199.0,474.1111921,539.7503289,631.5252576,745.609127,738.0547312,785.5026671,40051143.0,43048295.0,46519437.0,50400809.0,54957895.0,60058259.0,4.15597105026245,4.4621639251709,4.11062574386597,4.14107227325439,4.16122531890869
45,Cambodia,2011,13477705.0,13679953.0,13883835.0,14093605.0,14312205.0,14541421.0,58.5,59.3,63.0,61.5,62.9,64.1,7274595707.0,8639235842.0,10351914093.0,10401851851.0,11242275199.0,12829541141.0,539.7503289,631.5252576,745.609127,738.0547312,785.5026671,882.275614,43048295.0,46519437.0,50400809.0,54957895.0,60058259.0,65252349.0,4.4621639251709,4.11062574386597,4.14107227325439,4.16122531890869,3.89870691299438
46,Cambodia,2012,13679953.0,13883835.0,14093605.0,14312205.0,14541421.0,14780454.0,59.3,63.0,61.5,62.9,64.1,65.0,8639235842.0,10351914093.0,10401851851.0,11242275199.0,12829541141.0,14054443213.0,631.5252576,745.609127,738.0547312,785.5026671,882.275614,950.880346,46519437.0,50400809.0,54957895.0,60058259.0,65252349.0,70703789.0,4.11062574386597,4.14107227325439,4.16122531890869,3.89870691299438,3.67446684837341
47,Cambodia,2013,13883835.0,14093605.0,14312205.0,14541421.0,14780454.0,15026330.0,63.0,61.5,62.9,64.1,65.0,65.6,10351914093.0,10401851851.0,11242275199.0,12829541141.0,14054443213.0,15227991395.0,745.609127,738.0547312,785.5026671,882.275614,950.880346,1013.420536,50400809.0,54957895.0,60058259.0,65252349.0,70703789.0,76281895.0,4.14107227325439,4.16122531890869,3.89870691299438,3.67446684837341,3.88330554962158
48,Cambodia,2014,14093605.0,14312205.0,14541421.0,14780454.0,15026330.0,15274506.0,61.5,62.9,64.1,65.0,65.6,66.1,10401851851.0,11242275199.0,12829541141.0,14054443213.0,15227991395.0,16702610842.0,738.0547312,785.5026671,882.275614,950.880346,1013.420536,1093.495976,54957895.0,60058259.0,65252349.0,70703789.0,76281895.0,82775697.0,4.16122531890869,3.89870691299438,3.67446684837341,3.88330554962158,4.16216468811035
49,Cambodia,2015,14312205.0,14541421.0,14780454.0,15026330.0,15274506.0,15521435.0,62.9,64.1,65.0,65.6,66.1,66.6,11242275199.0,12829541141.0,14054443213.0,15227991395.0,16702610842.0,18049954289.0,785.5026671,882.275614,950.880346,1013.420536,1093.495976,1162.904995,60058259.0,65252349.0,70703789.0,76281895.0,82775697.0,91302231.0,3.89870691299438,3.67446684837341,3.88330554962158,4.16216468811035,4.46125936508179
55,Cameroon,2010,17733408.0,18223677.0,18730283.0,19252674.0,19789922.0,20341236.0,51.4,51.5,51.6,51.8,52.1,52.8,19509850837.0,20910513975.0,23928251334.0,27715144580.0,27932971683.0,27507499709.0,1100.174926,1147.4366,1277.516807,1439.547804,1411.474572,1352.302275,116874535.0,120627001.0,126330101.0,131756117.0,138350167.0,145012214.0,4.34993934631348,4.2918004989624,4.7414083480835,4.55425691604614,4.43388509750366
56,Cameroon,2011,18223677.0,18730283.0,19252674.0,19789922.0,20341236.0,20906392.0,51.5,51.6,51.8,52.1,52.8,53.3,20910513975.0,23928251334.0,27715144580.0,27932971683.0,27507499709.0,30630912185.0,1147.4366,1277.516807,1439.547804,1411.474572,1352.302275,1465.145788,120627001.0,126330101.0,131756117.0,138350167.0,145012214.0,151533021.0,4.2918004989624,4.7414083480835,4.55425691604614,4.43388509750366,4.24463415145874
57,Cameroon,2012,18730283.0,19252674.0,19789922.0,20341236.0,20906392.0,21485267.0,51.6,51.8,52.1,52.8,53.3,53.6,23928251334.0,27715144580.0,27932971683.0,27507499709.0,30630912185.0,30155064574.0,1277.516807,1439.547804,1411.474572,1352.302275,1465.145788,1403.522915,126330101.0,131756117.0,138350167.0,145012214.0,151533021.0,157692392.0,4.7414083480835,4.55425691604614,4.43388509750366,4.24463415145874,4.27103805541992
58,Cameroon,2013,19252674.0,19789922.0,20341236.0,20906392.0,21485267.0,22077300.0,51.8,52.1,52.8,53.3,53.6,54.2,27715144580.0,27932971683.0,27507499709.0,30630912185.0,30155064574.0,33728622819.0,1439.547804,1411.474572,1352.302275,1465.145788,1403.522915,1527.751257,131756117.0,138350167.0,145012214.0,151533021.0,157692392.0,162762779.0,4.55425691604614,4.43388509750366,4.24463415145874,4.27103805541992,4.24044132232666
59,Cameroon,2014,19789922.0,20341236.0,20906392.0,21485267.0,22077300.0,22681853.0,52.1,52.8,53.3,53.6,54.2,54.8,27932971683.0,27507499709.0,30630912185.0,30155064574.0,33728622819.0,36386546918.0,1411.474572,1352.302275,1465.145788,1403.522915,1527.751257,1604.214035,138350167.0,145012214.0,151533021.0,157692392.0,162762779.0,169612568.0,4.43388509750366,4.24463415145874,4.27103805541992,4.24044132232666,5.03796482086182
60,Cameroon,2015,20341236.0,20906392.0,21485267.0,22077300.0,22681853.0,23298376.0,52.8,53.3,53.6,54.2,54.8,55.3,27507499709.0,30630912185.0,30155064574.0,33728622819.0,36386546918.0,32210232912.0,1352.302275,1465.145788,1403.522915,1527.751257,1604.214035,1382.50979,145012214.0,151533021.0,157692392.0,162762779.0,169612568.0,177358737.0,4.24463415145874,4.27103805541992,4.24044132232666,5.03796482086182,4.81623220443726
66,Canada,2010,32164313.0,32536994.0,32930795.0,33337638.0,33746093.0,34147566.0,79.1,79.4,79.5,79.7,80.0,81.0,1173110000000.0,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,25042819787.0,25614229550.0,26208894916.0,26788262055.0,27334872496.0,27893676503.0,7.48175287246704,7.48560380935669,7.48782444000244,7.65034627914429,7.42605352401733
67,Canada,2011,32536994.0,32930795.0,33337638.0,33746093.0,34147566.0,34539156.0,79.4,79.5,79.7,80.0,81.0,85.0,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,25614229550.0,26208894916.0,26788262055.0,27334872496.0,27893676503.0,28463546701.0,7.48560380935669,7.48782444000244,7.65034627914429,7.42605352401733,7.41514444351196
68,Canada,2012,32930795.0,33337638.0,33746093.0,34147566.0,34539156.0,34922031.0,79.5,79.7,80.0,81.0,85.0,85.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,26208894916.0,26788262055.0,27334872496.0,27893676503.0,28463546701.0,29032809432.0,7.48782444000244,7.65034627914429,7.42605352401733,7.41514444351196,7.59379386901855
69,Canada,2013,33337638.0,33746093.0,34147566.0,34539156.0,34922031.0,35296535.0,79.7,80.0,81.0,85.0,85.0,87.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,26788262055.0,27334872496.0,27893676503.0,28463546701.0,29032809432.0,29606508169.0,7.65034627914429,7.42605352401733,7.41514444351196,7.59379386901855,7.30425786972046
