,Target Score
0,5.96103429794312
1,6.42413330078125
2,6.44106721878052
3,6.77580547332764
4,6.46838712692261
5,6.58226013183594
6,6.67111444473267
7,6.69713068008423
8,6.42722129821777
9,6.03933000564575
15,5.05227851867676
16,5.08285140991211
17,4.85848140716553
18,4.98564910888672
19,4.7244439125061
20,4.66016101837158
21,4.63556480407715
22,4.63347387313843
23,4.5561408996582
24,4.3097710609436
30,5.29787254333496
31,6.08557939529419
32,5.78062009811401
33,5.77887439727783
34,6.0188946723938
35,5.76742887496948
36,5.8647985458374
37,5.83432912826538
38,5.76972341537476
39,5.65055274963379
45,6.69142484664917
46,7.00083160400391
47,6.83733129501343
48,7.03781652450562
49,6.66000366210938
50,7.14028263092041
51,6.98099899291992
52,6.54689693450928
53,6.37481737136841
54,6.3329291343689
60,4.4621639251709
61,4.11062574386597
62,4.14107227325439
63,4.16122531890869
64,3.89870691299438
65,3.67446684837341
66,3.88330554962158
67,4.16216468811035
68,4.46125936508179
69,4.58584213256836
75,4.2918004989624
76,4.7414083480835
77,4.55425691604614
78,4.43388509750366
79,4.24463415145874
80,4.27103805541992
81,4.24044132232666
82,5.03796482086182
83,4.81623220443726
84,5.07405138015747
90,7.48560380935669
91,7.48782444000244
92,7.65034627914429
93,7.42605352401733
94,7.41514444351196
95,7.59379386901855
96,7.30425786972046
97,7.41277265548706
98,7.24484586715698
99,7.41486835479736
105,5.78943872451782
106,6.49368619918823
107,6.63565587997437
108,6.52633476257324
109,6.59912872314453
110,6.74015378952026
111,6.84423828125
112,6.53274965286255
113,6.57905626296997
114,6.32011938095093
120,4.84629487991333
121,4.45436096191406
122,4.65273666381836
123,5.03720760345459
124,5.09491729736328
125,5.24109029769897
126,5.19561910629272
127,5.30387783050537
128,5.32495594024658
129,5.09906148910522
135,6.16839504241943
136,6.27160453796387
137,6.40811347961426
138,6.46395254135132
139,6.37487983703613
140,6.60655069351196
141,6.44878911972046
142,6.38757181167603
143,6.23371505737305
144,6.15734195709229
150,7.97089195251465
151,7.68335866928101
152,7.77051544189453
153,7.78823184967041
154,7.51990938186646
155,7.58860683441162
156,7.50755929946899
157,7.5144248008728
158,7.5577826499939
159,7.59370231628418
165,4.8423056602478
166,5.43161392211914
167,4.73502111434937
168,5.39653539657593
169,4.75331115722656
170,5.01551532745361
171,5.38733196258545
172,5.06186246871948
173,5.23869848251343
174,5.60520267486572
180,5.29651308059692
181,6.02180337905884
182,5.83805131912231
183,5.79508829116821
184,5.96071624755859
185,6.01920604705811
186,5.94585180282593
187,5.96407508850098
188,6.11543750762939
189,5.83951854705811
195,4.63174104690552
196,5.06616449356079
197,4.66891622543335
198,4.17415857315063
199,4.20415687561035
200,3.55852031707764
201,4.88507270812988
202,4.76253843307495
203,4.55674076080322
204,3.92934417724609
210,5.19149398803711
211,6.83908700942993
212,6.73991107940674
213,4.74129486083984
214,5.93437147140503
215,6.32506322860718
216,5.85652351379395
217,6.01849603652954
218,6.13982486724854
219,6.33931827545166
225,4.156090259552
226,3.80063915252686
227,4.10183715820312
228,4.20303058624268
229,4.25444555282593
230,4.34892082214355
231,4.28750801086426
232,4.12194061279297
233,4.44838619232178
234,4.45077466964722
240,6.52179002761841
241,6.64149332046509
242,6.72453117370605
243,6.62131214141846
244,6.70236206054688
245,6.96512508392334
246,6.98421430587769
247,7.03713750839233
248,6.87376308441162
249,7.07432460784912
255,4.9651346206665
256,4.1976957321167
257,4.60625171661377
258,5.60819959640503
259,5.05726194381714
260,4.96505308151245
261,3.86035108566284
262,3.98591613769531
263,4.51441144943237
264,5.48131084442139
270,5.14583301544189
271,4.52151775360107
272,4.98927736282349
273,4.63487148284912
274,4.72014665603638
275,4.42778873443604
276,4.42437934875488
277,4.34207916259766
278,4.17917728424072
279,4.04611110687256
285,7.26126146316528
286,7.35297918319702
287,7.35891628265381
288,7.43314790725708
289,7.1108546257019
290,7.32056331634521
291,7.40057039260864
292,7.07941102981567
293,7.159010887146
294,7.33103609085083
300,6.77977418899536
301,6.33380031585693
302,6.35423803329468
303,6.05708646774292
304,5.83931398391724
305,6.00937366485596
306,6.0265851020813
307,5.84768390655518
308,5.95452404022217
309,6.19887018203735
315,5.91067934036255
316,5.84499931335449
317,6.05675268173218
318,6.26279354095459
319,5.96821641921997
320,5.95936155319214
321,5.92262077331543
322,5.87968444824219
323,5.95465087890625
324,5.9106764793396
330,4.93005800247192
331,5.99985933303833
332,5.56994247436523
333,5.53932762145996
334,5.13199615478516
335,5.17195272445679
336,5.33302164077759
337,5.4045934677124
338,5.27128458023071
339,4.80808258056641
345,5.88641977310181
346,5.38256311416626
347,5.51428651809692
348,5.73566293716431
349,5.75946950912476
350,5.83548307418823
351,5.97009754180908
352,5.94999504089355
353,5.53355169296265
354,5.88235139846802
360,4.01527452468872
361,4.27043485641479
362,4.255859375
363,4.40531015396118
364,4.54733514785767
365,3.79538321495056
366,4.90457963943481
367,4.35761785507202
368,4.39612770080566
369,4.47565412521362
375,5.52165985107422
376,5.891432762146
377,5.17660140991211
378,4.85950183868408
379,5.63958835601807
380,6.12575817108154
381,5.00037527084351
382,5.07746076583862
383,5.75941228866577
384,6.14919996261597
390,4.73658800125122
391,5.06905364990234
392,4.99641084671021
393,4.92104911804199
394,5.20778560638428
395,5.40242671966553
396,5.25219297409058
397,4.90537595748901
398,4.85653400421143
399,5.62953662872314
405,5.55392599105835
406,5.46692085266113
407,5.06582498550415
408,5.43243741989136
409,5.77103710174561
410,5.59568929672241
411,6.12572383880615
412,5.71137809753418
413,5.86555242538452
414,6.27294063568115
420,6.82903623580933
421,6.96281909942627
422,6.8023886680603
423,6.90951538085938
424,7.32018518447876
425,7.44254636764526
426,6.67983102798462
427,6.23628711700439
428,6.82417297363281
429,6.41029930114746
435,5.50275611877441
436,5.55437421798706
437,5.5897364616394
438,5.7922625541687
439,5.9957127571106
440,5.75605916976929
441,5.91705846786499
442,6.01747226715088
443,5.57778406143188
444,5.32553052902222
450,4.58906507492065
451,4.87991094589233
452,4.94151401519775
453,4.99395656585693
454,5.00196504592896
455,4.97692537307739
456,5.31255006790161
457,5.54748916625977
458,5.430832862854
459,5.5942702293396
465,5.6187539100647
466,5.15822792053223
467,5.38477325439453
468,5.38876628875732
469,5.62073564529419
470,5.53717756271362
471,6.03697681427002
472,5.99553871154785
473,5.85494565963745
474,5.57874298095703
480,6.81137037277222
481,6.14759016036987
482,6.30709838867188
483,6.69978952407837
484,6.39635944366455
485,6.49513292312622
486,6.27837800979614
487,6.34549188613892
488,6.47392129898071
489,6.29428243637085
495,5.34630680084229
496,5.21843099594116
497,4.65242862701416
498,4.93051147460938
499,5.13388776779175
500,3.66072726249695
501,4.82845640182495
502,4.88732576370239
503,4.76973962783813
504,4.51365518569946
510,5.38962459564209
511,5.64768981933594
512,6.11602449417114
513,6.94659900665283
514,6.00328683853149
515,5.9588098526001
516,5.80132532119751
517,5.78021144866943
518,5.97056436538696
519,5.87388706207275
525,7.29447269439697
526,6.19860124588013
527,6.18826246261597
528,6.51824903488159
529,6.29069042205811
530,6.15002727508545
531,6.45647764205933
532,6.38066339492798
533,6.31861209869385
534,6.23017311096191
540,7.51599740982056
541,7.26597738265991
542,7.49601888656616
543,7.38223218917847
544,7.56014776229858
