,Country,Target Year,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
60,Cameroon,2009,17733408.0,18223677.0,18730283.0,19252674.0,19789922.0,51.4,51.5,51.6,51.8,52.1,19509850837.0,20910513975.0,23928251334.0,27715144580.0,27932971683.0,1100.174926,1147.4366,1277.516807,1439.547804,1411.474572,116874535.0,120627001.0,126330101.0,131756117.0,138350167.0,4.34993934631348,4.2918004989624,4.7414083480835,4.55425691604614
61,Cameroon,2010,18223677.0,18730283.0,19252674.0,19789922.0,20341236.0,51.5,51.6,51.8,52.1,52.8,20910513975.0,23928251334.0,27715144580.0,27932971683.0,27507499709.0,1147.4366,1277.516807,1439.547804,1411.474572,1352.302275,120627001.0,126330101.0,131756117.0,138350167.0,145012214.0,4.2918004989624,4.7414083480835,4.55425691604614,4.43388509750366
62,Cameroon,2011,18730283.0,19252674.0,19789922.0,20341236.0,20906392.0,51.6,51.8,52.1,52.8,53.3,23928251334.0,27715144580.0,27932971683.0,27507499709.0,30630912185.0,1277.516807,1439.547804,1411.474572,1352.302275,1465.145788,126330101.0,131756117.0,138350167.0,145012214.0,151533021.0,4.7414083480835,4.55425691604614,4.43388509750366,4.24463415145874
63,Cameroon,2012,19252674.0,19789922.0,20341236.0,20906392.0,21485267.0,51.8,52.1,52.8,53.3,53.6,27715144580.0,27932971683.0,27507499709.0,30630912185.0,30155064574.0,1439.547804,1411.474572,1352.302275,1465.145788,1403.522915,131756117.0,138350167.0,145012214.0,151533021.0,157692392.0,4.55425691604614,4.43388509750366,4.24463415145874,4.27103805541992
64,Cameroon,2013,19789922.0,20341236.0,20906392.0,21485267.0,22077300.0,52.1,52.8,53.3,53.6,54.2,27932971683.0,27507499709.0,30630912185.0,30155064574.0,33728622819.0,1411.474572,1352.302275,1465.145788,1403.522915,1527.751257,138350167.0,145012214.0,151533021.0,157692392.0,162762779.0,4.43388509750366,4.24463415145874,4.27103805541992,4.24044132232666
65,Cameroon,2014,20341236.0,20906392.0,21485267.0,22077300.0,22681853.0,52.8,53.3,53.6,54.2,54.8,27507499709.0,30630912185.0,30155064574.0,33728622819.0,36386546918.0,1352.302275,1465.145788,1403.522915,1527.751257,1604.214035,145012214.0,151533021.0,157692392.0,162762779.0,169612568.0,4.24463415145874,4.27103805541992,4.24044132232666,5.03796482086182
66,Cameroon,2015,20906392.0,21485267.0,22077300.0,22681853.0,23298376.0,53.3,53.6,54.2,54.8,55.3,30630912185.0,30155064574.0,33728622819.0,36386546918.0,32210232912.0,1465.145788,1403.522915,1527.751257,1604.214035,1382.50979,151533021.0,157692392.0,162762779.0,169612568.0,177358737.0,4.27103805541992,4.24044132232666,5.03796482086182,4.81623220443726
72,Canada,2009,32164313.0,32536994.0,32930795.0,33337638.0,33746093.0,79.1,79.4,79.5,79.7,80.0,1173110000000.0,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,25042819787.0,25614229550.0,26208894916.0,26788262055.0,27334872496.0,7.48175287246704,7.48560380935669,7.48782444000244,7.65034627914429
73,Canada,2010,32536994.0,32930795.0,33337638.0,33746093.0,34147566.0,79.4,79.5,79.7,80.0,81.0,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,25614229550.0,26208894916.0,26788262055.0,27334872496.0,27893676503.0,7.48560380935669,7.48782444000244,7.65034627914429,7.42605352401733
74,Canada,2011,32930795.0,33337638.0,33746093.0,34147566.0,34539156.0,79.5,79.7,80.0,81.0,85.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,26208894916.0,26788262055.0,27334872496.0,27893676503.0,28463546701.0,7.48782444000244,7.65034627914429,7.42605352401733,7.41514444351196
