,Country,Target Year,Population lag 4 years,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 4 years,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 4 years,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 4 years,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 4 years,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 4 years,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year
111,Colombia,2012,44254972.0,44750054.0,45222699.0,45662747.0,46075721.0,72.4,72.8,73.1,73.1,73.5,242187000000.0,232398000000.0,286563000000.0,334944000000.0,370921000000.0,5472.53653,5193.241458,6336.709474,7335.166934,8050.255372,2382425687.0,2454982407.0,2531260831.0,2607340606.0,2687067778.0,6.40811347961426,6.46395254135132,6.37487983703613,6.60655069351196
112,Colombia,2013,44750054.0,45222699.0,45662747.0,46075721.0,46495492.0,72.8,73.1,73.1,73.5,73.5,232398000000.0,286563000000.0,334944000000.0,370921000000.0,382116000000.0,5193.241458,6336.709474,7335.166934,8050.255372,8218.347844,2454982407.0,2531260831.0,2607340606.0,2687067778.0,2774495634.0,6.46395254135132,6.37487983703613,6.60655069351196,6.44878911972046
113,Colombia,2014,45222699.0,45662747.0,46075721.0,46495492.0,46967706.0,73.1,73.1,73.5,73.5,73.6,286563000000.0,334944000000.0,370921000000.0,382116000000.0,381112000000.0,6336.709474,7335.166934,8050.255372,8218.347844,8114.343921,2531260831.0,2607340606.0,2687067778.0,2774495634.0,2863194777.0,6.37487983703613,6.60655069351196,6.44878911972046,6.38757181167603
114,Colombia,2015,45662747.0,46075721.0,46495492.0,46967706.0,47520667.0,73.1,73.5,73.5,73.6,73.6,334944000000.0,370921000000.0,382116000000.0,381112000000.0,293482000000.0,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,2607340606.0,2687067778.0,2774495634.0,2863194777.0,2955160135.0,6.60655069351196,6.44878911972046,6.38757181167603,6.23371505737305
120,Denmark,2009,5421701.0,5444293.0,5469920.0,5497731.0,5526389.0,76.9,77.0,77.0,77.3,77.7,264467000000.0,282885000000.0,319423000000.0,353361000000.0,321241000000.0,48799.8256,52026.99951,58487.05497,64322.0635,58163.27688,3457274966.0,3516703727.0,3571359728.0,3622579558.0,3671395565.0,7.83423328399658,7.97089195251465,7.68335866928101,7.77051544189453
121,Denmark,2010,5444293.0,5469920.0,5497731.0,5526389.0,5554849.0,77.0,77.0,77.3,77.7,78.1,282885000000.0,319423000000.0,353361000000.0,321241000000.0,321995000000.0,52026.99951,58487.05497,64322.0635,58163.27688,58041.39844,3516703727.0,3571359728.0,3622579558.0,3671395565.0,3720566069.0,7.97089195251465,7.68335866928101,7.77051544189453,7.78823184967041
122,Denmark,2011,5469920.0,5497731.0,5526389.0,5554849.0,5582980.0,77.0,77.3,77.7,78.1,78.1,319423000000.0,353361000000.0,321241000000.0,321995000000.0,344003000000.0,58487.05497,64322.0635,58163.27688,58041.39844,61753.64713,3571359728.0,3622579558.0,3671395565.0,3720566069.0,3764781246.0,7.68335866928101,7.77051544189453,7.78823184967041,7.51990938186646
123,Denmark,2012,5497731.0,5526389.0,5554849.0,5582980.0,5610909.0,77.3,77.7,78.1,78.1,78.4,353361000000.0,321241000000.0,321995000000.0,344003000000.0,327149000000.0,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,3622579558.0,3671395565.0,3720566069.0,3764781246.0,3804621405.0,7.77051544189453,7.78823184967041,7.51990938186646,7.58860683441162
124,Denmark,2013,5526389.0,5554849.0,5582980.0,5610909.0,5638152.0,77.7,78.1,78.1,78.4,78.8,321241000000.0,321995000000.0,344003000000.0,327149000000.0,343584000000.0,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,3671395565.0,3720566069.0,3764781246.0,3804621405.0,3846367301.0,7.78823184967041,7.51990938186646,7.58860683441162,7.50755929946899
125,Denmark,2014,5554849.0,5582980.0,5610909.0,5638152.0,5664199.0,78.1,78.1,78.4,78.8,78.9,321995000000.0,344003000000.0,327149000000.0,343584000000.0,352994000000.0,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,3720566069.0,3764781246.0,3804621405.0,3846367301.0,3883910718.0,7.51990938186646,7.58860683441162,7.50755929946899,7.5144248008728
126,Denmark,2015,5582980.0,5610909.0,5638152.0,5664199.0,5688695.0,78.1,78.4,78.8,78.9,79.2,344003000000.0,327149000000.0,343584000000.0,352994000000.0,302673000000.0,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,3764781246.0,3804621405.0,3846367301.0,3883910718.0,3919114412.0,7.58860683441162,7.50755929946899,7.5144248008728,7.5577826499939
132,Dominican Republic,2009,9097262.0,9218681.0,9338856.0,9458079.0,9576736.0,72.0,71.2,71.4,73.0,69.3,35777570136.0,37879869898.0,43965420072.0,48122547177.0,48261033298.0,3932.784407,4109.033591,4707.795052,5087.983213,5039.403122,409162209.0,428274141.0,448267071.0,468598907.0,488379573.0,5.08130598068237,4.8423056602478,5.43161392211914,4.73502111434937
133,Dominican Republic,2010,9218681.0,9338856.0,9458079.0,9576736.0,9695117.0,71.2,71.4,73.0,69.3,69.7,37879869898.0,43965420072.0,48122547177.0,48261033298.0,53860175556.0,4109.033591,4707.795052,5087.983213,5039.403122,5555.392014,428274141.0,448267071.0,468598907.0,488379573.0,508933026.0,4.8423056602478,5.43161392211914,4.73502111434937,5.39653539657593
134,Dominican Republic,2011,9338856.0,9458079.0,9576736.0,9695117.0,9813219.0,71.4,73.0,69.3,69.7,72.3,43965420072.0,48122547177.0,48261033298.0,53860175556.0,58029750746.0,4707.795052,5087.983213,5039.403122,5555.392014,5913.426649,448267071.0,468598907.0,488379573.0,508933026.0,530250940.0,5.43161392211914,4.73502111434937,5.39653539657593,4.75331115722656
135,Dominican Republic,2012,9458079.0,9576736.0,9695117.0,9813219.0,9930916.0,73.0,69.3,69.7,72.3,72.9,48122547177.0,48261033298.0,53860175556.0,58029750746.0,60681537196.0,5087.983213,5039.403122,5555.392014,5913.426649,6110.366576,468598907.0,488379573.0,508933026.0,530250940.0,551505694.0,4.73502111434937,5.39653539657593,4.75331115722656,5.01551532745361
136,Dominican Republic,2013,9576736.0,9695117.0,9813219.0,9930916.0,10048226.0,69.3,69.7,72.3,72.9,73.3,48261033298.0,53860175556.0,58029750746.0,60681537196.0,62682163837.0,5039.403122,5555.392014,5913.426649,6110.366576,6238.132367,488379573.0,508933026.0,530250940.0,551505694.0,572772654.0,5.39653539657593,4.75331115722656,5.01551532745361,5.38733196258545
137,Dominican Republic,2014,9695117.0,9813219.0,9930916.0,10048226.0,10165182.0,69.7,72.3,72.9,73.3,73.6,53860175556.0,58029750746.0,60681537196.0,62682163837.0,67179914027.0,5555.392014,5913.426649,6110.366576,6238.132367,6608.825501,508933026.0,530250940.0,551505694.0,572772654.0,594573265.0,4.75331115722656,5.01551532745361,5.38733196258545,5.06186246871948
138,Dominican Republic,2015,9813219.0,9930916.0,10048226.0,10165182.0,10281675.0,72.3,72.9,73.3,73.6,72.7,58029750746.0,60681537196.0,62682163837.0,67179914027.0,71164825257.0,5913.426649,6110.366576,6238.132367,6608.825501,6921.520594,530250940.0,551505694.0,572772654.0,594573265.0,618067854.0,5.01551532745361,5.38733196258545,5.06186246871948,5.23869848251343
144,Ecuador,2009,13825839.0,14059379.0,14296554.0,14535740.0,14774412.0,72.8,73.4,73.6,74.4,74.4,41507085000.0,46802044000.0,51007777000.0,61762635000.0,62519686000.0,3002.138604,3328.884156,3567.837186,4249.01897,4231.619235,655957316.0,684851947.0,718537463.0,748110525.0,780613726.0,4.99587535858154,5.29651308059692,6.02180337905884,5.83805131912231
145,Ecuador,2010,14059379.0,14296554.0,14535740.0,14774412.0,15011114.0,73.4,73.6,74.4,74.4,74.2,46802044000.0,51007777000.0,61762635000.0,62519686000.0,69555367000.0,3328.884156,3567.837186,4249.01897,4231.619235,4633.591284,684851947.0,718537463.0,748110525.0,780613726.0,815439334.0,5.29651308059692,6.02180337905884,5.83805131912231,5.79508829116821
146,Ecuador,2011,14296554.0,14535740.0,14774412.0,15011114.0,15243885.0,73.6,74.4,74.4,74.2,74.4,51007777000.0,61762635000.0,62519686000.0,69555367000.0,79276664000.0,3567.837186,4249.01897,4231.619235,4633.591284,5200.555108,718537463.0,748110525.0,780613726.0,815439334.0,852837710.0,6.02180337905884,5.83805131912231,5.79508829116821,5.96071624755859
147,Ecuador,2012,14535740.0,14774412.0,15011114.0,15243885.0,15474099.0,74.4,74.4,74.2,74.4,74.7,61762635000.0,62519686000.0,69555367000.0,79276664000.0,87924544000.0,4249.01897,4231.619235,4633.591284,5200.555108,5682.046108,748110525.0,780613726.0,815439334.0,852837710.0,889991732.0,5.83805131912231,5.79508829116821,5.96071624755859,6.01920604705811
148,Ecuador,2013,14774412.0,15011114.0,15243885.0,15474099.0,15707473.0,74.4,74.2,74.4,74.7,74.6,62519686000.0,69555367000.0,79276664000.0,87924544000.0,95129659000.0,4231.619235,4633.591284,5200.555108,5682.046108,6056.331213,780613726.0,815439334.0,852837710.0,889991732.0,929354073.0,5.79508829116821,5.96071624755859,6.01920604705811,5.94585180282593
149,Ecuador,2014,15011114.0,15243885.0,15474099.0,15707473.0,15951832.0,74.2,74.4,74.7,74.6,75.1,69555367000.0,79276664000.0,87924544000.0,95129659000.0,101726000000.0,4633.591284,5200.555108,5682.046108,6056.331213,6377.093929,815439334.0,852837710.0,889991732.0,929354073.0,972561015.0,5.96071624755859,6.01920604705811,5.94585180282593,5.96407508850098
150,Ecuador,2015,15243885.0,15474099.0,15707473.0,15951832.0,16212022.0,74.4,74.7,74.6,75.1,75.0,79276664000.0,87924544000.0,95129659000.0,101726000000.0,99290381000.0,5200.555108,5682.046108,6056.331213,6377.093929,6124.490887,852837710.0,889991732.0,929354073.0,972561015.0,1013320438.0,6.01920604705811,5.94585180282593,5.96407508850098,6.11543750762939
156,Egypt,2009,75523576.0,76873670.0,78232124.0,79636081.0,81134789.0,68.8,68.6,68.7,68.6,69.0,89600665557.0,107426086957.0,130437828371.0,162818181818.0,189147005445.0,1186.393313,1397.43669,1667.317998,2044.527804,2331.26884,3132480025.0,3308499089.0,3494406417.0,3689170414.0,3892340086.0,5.54051065444946,4.63174104690552,5.06616449356079,4.66891622543335
157,Egypt,2010,76873670.0,78232124.0,79636081.0,81134789.0,82761244.0,68.6,68.7,68.6,69.0,69.4,107426086957.0,130437828371.0,162818181818.0,189147005445.0,218983666062.0,1397.43669,1667.317998,2044.527804,2331.26884,2645.968759,3308499089.0,3494406417.0,3689170414.0,3892340086.0,4093181569.0,4.63174104690552,5.06616449356079,4.66891622543335,4.17415857315063
158,Egypt,2011,78232124.0,79636081.0,81134789.0,82761244.0,84529251.0,68.7,68.6,69.0,69.4,69.5,130437828371.0,162818181818.0,189147005445.0,218983666062.0,235989672978.0,1667.317998,2044.527804,2331.26884,2645.968759,2791.810766,3494406417.0,3689170414.0,3892340086.0,4093181569.0,4306208216.0,5.06616449356079,4.66891622543335,4.17415857315063,4.20415687561035
159,Egypt,2012,79636081.0,81134789.0,82761244.0,84529251.0,86422240.0,68.6,69.0,69.4,69.5,69.7,162818181818.0,189147005445.0,218983666062.0,235989672978.0,279116666667.0,2044.527804,2331.26884,2645.968759,2791.810766,3229.68563,3689170414.0,3892340086.0,4093181569.0,4306208216.0,4514926545.0,4.66891622543335,4.17415857315063,4.20415687561035,3.55852031707764
160,Egypt,2013,81134789.0,82761244.0,84529251.0,86422240.0,88404652.0,69.0,69.4,69.5,69.7,69.8,189147005445.0,218983666062.0,235989672978.0,279116666667.0,288434108527.0,2331.26884,2645.968759,2791.810766,3229.68563,3262.657586,3892340086.0,4093181569.0,4306208216.0,4514926545.0,4721875713.0,4.17415857315063,4.20415687561035,3.55852031707764,4.88507270812988
161,Egypt,2014,82761244.0,84529251.0,86422240.0,88404652.0,90424668.0,69.4,69.5,69.7,69.8,69.9,218983666062.0,235989672978.0,279116666667.0,288434108527.0,305595408895.0,2645.968759,2791.810766,3229.68563,3262.657586,3379.557986,4093181569.0,4306208216.0,4514926545.0,4721875713.0,4943543743.0,4.20415687561035,3.55852031707764,4.88507270812988,4.76253843307495
162,Egypt,2015,84529251.0,86422240.0,88404652.0,90424668.0,92442549.0,69.5,69.7,69.8,69.9,70.0,235989672978.0,279116666667.0,288434108527.0,305595408895.0,329366576819.0,2791.810766,3229.68563,3262.657586,3379.557986,3562.932658,4306208216.0,4514926545.0,4721875713.0,4943543743.0,5162711129.0,3.55852031707764,4.88507270812988,4.76253843307495,4.55674076080322
168,El Salvador,2009,6052124.0,6079395.0,6105810.0,6131767.0,6157678.0,69.0,68.9,73.0,69.9,70.0,14698000000.0,15999890000.0,17011750000.0,17986890000.0,17601620000.0,2428.568879,2631.822739,2786.157774,2933.39424,2858.483344,135369005.0,142086817.0,148932397.0,155337114.0,161649573.0,5.29553508758545,5.19149398803711,6.83908700942993,6.73991107940674
169,El Salvador,2010,6079395.0,6105810.0,6131767.0,6157678.0,6183877.0,68.9,73.0,69.9,70.0,71.0,15999890000.0,17011750000.0,17986890000.0,17601620000.0,18447920000.0,2631.822739,2786.157774,2933.39424,2858.483344,2983.228806,142086817.0,148932397.0,155337114.0,161649573.0,167968202.0,5.19149398803711,6.83908700942993,6.73991107940674,4.74129486083984
170,El Salvador,2011,6105810.0,6131767.0,6157678.0,6183877.0,6210567.0,73.0,69.9,70.0,71.0,75.0,17011750000.0,17986890000.0,17601620000.0,18447920000.0,20283780000.0,2786.157774,2933.39424,2858.483344,2983.228806,3266.010978,148932397.0,155337114.0,161649573.0,167968202.0,174467607.0,6.83908700942993,6.73991107940674,4.74129486083984,5.93437147140503
171,El Salvador,2012,6131767.0,6157678.0,6183877.0,6210567.0,6237922.0,69.9,70.0,71.0,75.0,71.2,17986890000.0,17601620000.0,18447920000.0,20283780000.0,21386150000.0,2933.39424,2858.483344,2983.228806,3266.010978,3428.409332,155337114.0,161649573.0,167968202.0,174467607.0,180939489.0,6.73991107940674,4.74129486083984,5.93437147140503,6.32506322860718
172,El Salvador,2013,6157678.0,6183877.0,6210567.0,6237922.0,6266076.0,70.0,71.0,75.0,71.2,71.7,17601620000.0,18447920000.0,20283780000.0,21386150000.0,21990960000.0,2858.483344,2983.228806,3266.010978,3428.409332,3509.526536,161649573.0,167968202.0,174467607.0,180939489.0,187033961.0,4.74129486083984,5.93437147140503,6.32506322860718,5.85652351379395
173,El Salvador,2014,6183877.0,6210567.0,6237922.0,6266076.0,6295124.0,71.0,75.0,71.2,71.7,71.4,18447920000.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,2983.228806,3266.010978,3428.409332,3509.526536,3589.042885,167968202.0,174467607.0,180939489.0,187033961.0,193185116.0,5.93437147140503,6.32506322860718,5.85652351379395,6.01849603652954
174,El Salvador,2015,6210567.0,6237922.0,6266076.0,6295124.0,6325121.0,75.0,71.2,71.7,71.4,72.0,20283780000.0,21386150000.0,21990960000.0,22593470000.0,23438240000.0,3266.010978,3428.409332,3509.526536,3589.042885,3705.579704,174467607.0,180939489.0,187033961.0,193185116.0,199860431.0,6.32506322860718,5.85652351379395,6.01849603652954,6.13982486724854
180,Georgia,2009,4210158.0,4189721.0,4166859.0,4142648.0,4119490.0,71.8,73.0,71.7,72.7,72.3,6410823633.0,7745394293.0,10172882371.0,12795076469.0,10766836277.0,1642.760938,1996.057129,2635.353882,3324.735879,2822.66743,535721189.0,541817901.0,548183252.0,553492059.0,559627685.0,3.70719456672668,4.156090259552,3.80063915252686,4.10183715820312
181,Georgia,2010,4189721.0,4166859.0,4142648.0,4119490.0,4099095.0,73.0,71.7,72.7,72.3,73.9,7745394293.0,10172882371.0,12795076469.0,10766836277.0,12243505583.0,1996.057129,2635.353882,3324.735879,2822.66743,3233.295943,541817901.0,548183252.0,553492059.0,559627685.0,565835728.0,4.156090259552,3.80063915252686,4.10183715820312,4.20303058624268
182,Georgia,2011,4166859.0,4142648.0,4119490.0,4099095.0,4081012.0,71.7,72.7,72.3,73.9,73.9,10172882371.0,12795076469.0,10766836277.0,12243505583.0,15107441447.0,2635.353882,3324.735879,2822.66743,3233.295943,4021.743306,548183252.0,553492059.0,559627685.0,565835728.0,573640254.0,3.80063915252686,4.10183715820312,4.20303058624268,4.25444555282593
183,Georgia,2012,4142648.0,4119490.0,4099095.0,4081012.0,4064097.0,72.7,72.3,73.9,73.9,74.4,12795076469.0,10766836277.0,12243505583.0,15107441447.0,16488403076.0,3324.735879,2822.66743,3233.295943,4021.743306,4421.818242,553492059.0,559627685.0,565835728.0,573640254.0,581892065.0,4.10183715820312,4.20303058624268,4.25444555282593,4.34892082214355
184,Georgia,2013,4119490.0,4099095.0,4081012.0,4064097.0,4048701.0,72.3,73.9,73.9,74.4,73.9,10766836277.0,12243505583.0,15107441447.0,16488403076.0,17189551521.0,2822.66743,3233.295943,4021.743306,4421.818242,4623.745725,559627685.0,565835728.0,573640254.0,581892065.0,589901363.0,4.20303058624268,4.25444555282593,4.34892082214355,4.28750801086426
185,Georgia,2014,4099095.0,4081012.0,4064097.0,4048701.0,4035310.0,73.9,73.9,74.4,73.9,73.2,12243505583.0,15107441447.0,16488403076.0,17189551521.0,17627003455.0,3233.295943,4021.743306,4421.818242,4623.745725,4739.188338,565835728.0,573640254.0,581892065.0,589901363.0,598835761.0,4.25444555282593,4.34892082214355,4.28750801086426,4.12194061279297
186,Georgia,2015,4081012.0,4064097.0,4048701.0,4035310.0,4024180.0,73.9,74.4,73.9,73.2,73.8,15107441447.0,16488403076.0,17189551521.0,17627003455.0,14953950557.0,4021.743306,4421.818242,4623.745725,4739.188338,4014.185944,573640254.0,581892065.0,589901363.0,598835761.0,608582745.0,4.34892082214355,4.28750801086426,4.12194061279297,4.44838619232178
192,Germany,2009,81602739.0,81472235.0,81277836.0,81065751.0,80899961.0,78.0,78.3,78.4,78.5,79.1,2846860000000.0,2994700000000.0,3425580000000.0,3745260000000.0,3411260000000.0,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,80688226652.0,81566547082.0,82418171411.0,83273098556.0,84063393275.0,6.41681957244873,6.52179002761841,6.64149332046509,6.72453117370605
193,Germany,2010,81472235.0,81277836.0,81065751.0,80899961.0,80827001.0,78.3,78.4,78.5,79.1,79.2,2994700000000.0,3425580000000.0,3745260000000.0,3411260000000.0,3399670000000.0,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,81566547082.0,82418171411.0,83273098556.0,84063393275.0,84896342383.0,6.52179002761841,6.64149332046509,6.72453117370605,6.62131214141846
194,Germany,2011,81277836.0,81065751.0,80899961.0,80827001.0,80855629.0,78.4,78.5,79.1,79.2,79.6,3425580000000.0,3745260000000.0,3411260000000.0,3399670000000.0,3749310000000.0,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,82418171411.0,83273098556.0,84063393275.0,84896342383.0,85705559302.0,6.64149332046509,6.72453117370605,6.62131214141846,6.70236206054688
195,Germany,2012,81065751.0,80899961.0,80827001.0,80855629.0,80972629.0,78.5,79.1,79.2,79.6,79.8,3745260000000.0,3411260000000.0,3399670000000.0,3749310000000.0,3527140000000.0,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,83273098556.0,84063393275.0,84896342383.0,85705559302.0,86519543956.0,6.72453117370605,6.62131214141846,6.70236206054688,6.96512508392334
196,Germany,2013,80899961.0,80827001.0,80855629.0,80972629.0,81174373.0,79.1,79.2,79.6,79.8,79.9,3411260000000.0,3399670000000.0,3749310000000.0,3527140000000.0,3733800000000.0,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,84063393275.0,84896342383.0,85705559302.0,86519543956.0,87350997794.0,6.62131214141846,6.70236206054688,6.96512508392334,6.98421430587769
197,Germany,2014,80827001.0,80855629.0,80972629.0,81174373.0,81450370.0,79.2,79.6,79.8,79.9,80.0,3399670000000.0,3749310000000.0,3527140000000.0,3733800000000.0,3889090000000.0,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,84896342383.0,85705559302.0,86519543956.0,87350997794.0,88143585564.0,6.70236206054688,6.96512508392334,6.98421430587769,7.03713750839233
198,Germany,2015,80855629.0,80972629.0,81174373.0,81450370.0,81787411.0,79.6,79.8,79.9,80.0,81.0,3749310000000.0,3527140000000.0,3733800000000.0,3889090000000.0,3357590000000.0,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,85705559302.0,86519543956.0,87350997794.0,88143585564.0,88939195779.0,6.96512508392334,6.98421430587769,7.03713750839233,6.87376308441162
204,Ghana,2009,21814648.0,22379057.0,22963946.0,23563832.0,24170943.0,57.2,57.4,57.6,57.9,58.3,10744675210.0,20440893017.0,24827844950.0,28678701891.0,26048108185.0,492.5440562,913.3938493,1081.166318,1217.064435,1077.662058,175928748.0,185088237.0,194707005.0,203632356.0,211129964.0,5.22014808654785,4.9651346206665,4.1976957321167,4.60625171661377
205,Ghana,2010,22379057.0,22963946.0,23563832.0,24170943.0,24779614.0,57.4,57.6,57.9,58.3,58.9,20440893017.0,24827844950.0,28678701891.0,26048108185.0,32197272797.0,913.3938493,1081.166318,1217.064435,1077.662058,1299.345212,185088237.0,194707005.0,203632356.0,211129964.0,220839612.0,4.9651346206665,4.1976957321167,4.60625171661377,5.60819959640503
206,Ghana,2011,22963946.0,23563832.0,24170943.0,24779614.0,25387713.0,57.6,57.9,58.3,58.9,59.4,24827844950.0,28678701891.0,26048108185.0,32197272797.0,39337314810.0,1081.166318,1217.064435,1077.662058,1299.345212,1549.462719,194707005.0,203632356.0,211129964.0,220839612.0,232065629.0,4.1976957321167,4.60625171661377,5.60819959640503,5.05726194381714
207,Ghana,2012,23563832.0,24170943.0,24779614.0,25387713.0,25996454.0,57.9,58.3,58.9,59.4,59.9,28678701891.0,26048108185.0,32197272797.0,39337314810.0,41270954737.0,1217.064435,1077.662058,1299.345212,1549.462719,1587.560932,203632356.0,211129964.0,220839612.0,232065629.0,246380976.0,4.60625171661377,5.60819959640503,5.05726194381714,4.96505308151245
208,Ghana,2013,24170943.0,24779614.0,25387713.0,25996454.0,26607641.0,58.3,58.9,59.4,59.9,63.0,26048108185.0,32197272797.0,39337314810.0,41270954737.0,62823043706.0,1077.662058,1299.345212,1549.462719,1587.560932,2361.090324,211129964.0,220839612.0,232065629.0,246380976.0,260560852.0,5.60819959640503,5.05726194381714,4.96505308151245,3.86035108566284
209,Ghana,2014,24779614.0,25387713.0,25996454.0,26607641.0,27224480.0,58.9,59.4,59.9,63.0,66.0,32197272797.0,39337314810.0,41270954737.0,62823043706.0,54782847753.0,1299.345212,1549.462719,1587.560932,2361.090324,2012.264247,220839612.0,232065629.0,246380976.0,260560852.0,275315435.0,5.05726194381714,4.96505308151245,3.86035108566284,3.98591613769531
210,Ghana,2015,25387713.0,25996454.0,26607641.0,27224480.0,27849203.0,59.4,59.9,63.0,66.0,69.0,39337314810.0,41270954737.0,62823043706.0,54782847753.0,49406568433.0,1549.462719,1587.560932,2361.090324,2012.264247,1774.074771,232065629.0,246380976.0,260560852.0,275315435.0,291429885.0,4.96505308151245,3.86035108566284,3.98591613769531,4.51441144943237
216,India,2009,1147609924.0,1165486291.0,1183209471.0,1200669762.0,1217726217.0,62.5,62.9,63.3,63.7,64.0,820382000000.0,940260000000.0,1216740000000.0,1198900000000.0,1341890000000.0,714.8610154,806.7532806,1028.334772,998.5223415,1101.960838,24326352051.0,25586096327.0,26944248545.0,28407063143.0,30019879742.0,5.02679347991943,5.14583301544189,4.52151775360107,4.98927736282349
217,India,2010,1165486291.0,1183209471.0,1200669762.0,1217726217.0,1234281163.0,62.9,63.3,63.7,64.0,64.4,940260000000.0,1216740000000.0,1198900000000.0,1341890000000.0,1675620000000.0,806.7532806,1028.334772,998.5223415,1101.960838,1357.563727,25586096327.0,26944248545.0,28407063143.0,30019879742.0,31697767327.0,5.14583301544189,4.52151775360107,4.98927736282349,4.63487148284912
218,India,2011,1183209471.0,1200669762.0,1217726217.0,1234281163.0,1250287939.0,63.3,63.7,64.0,64.4,64.8,1216740000000.0,1198900000000.0,1341890000000.0,1675620000000.0,1823050000000.0,1028.334772,998.5223415,1101.960838,1357.563727,1458.104066,26944248545.0,28407063143.0,30019879742.0,31697767327.0,33477897323.0,4.52151775360107,4.98927736282349,4.63487148284912,4.72014665603638
219,India,2012,1200669762.0,1217726217.0,1234281163.0,1250287939.0,1265780243.0,63.7,64.0,64.4,64.8,65.2,1198900000000.0,1341890000000.0,1675620000000.0,1823050000000.0,1827640000000.0,998.5223415,1101.960838,1357.563727,1458.104066,1443.882435,28407063143.0,30019879742.0,31697767327.0,33477897323.0,35441483368.0,4.98927736282349,4.63487148284912,4.72014665603638,4.42778873443604
220,India,2013,1217726217.0,1234281163.0,1250287939.0,1265780243.0,1280842119.0,64.0,64.4,64.8,65.2,65.5,1341890000000.0,1675620000000.0,1823050000000.0,1827640000000.0,1856720000000.0,1101.960838,1357.563727,1458.104066,1443.882435,1449.610451,30019879742.0,31697767327.0,33477897323.0,35441483368.0,37478420449.0,4.63487148284912,4.72014665603638,4.42778873443604,4.42437934875488
221,India,2014,1234281163.0,1250287939.0,1265780243.0,1280842119.0,1295600768.0,64.4,64.8,65.2,65.5,66.0,1675620000000.0,1823050000000.0,1827640000000.0,1856720000000.0,2039130000000.0,1357.563727,1458.104066,1443.882435,1449.610451,1573.885642,31697767327.0,33477897323.0,35441483368.0,37478420449.0,39664276367.0,4.72014665603638,4.42778873443604,4.42437934875488,4.34207916259766
222,India,2015,1250287939.0,1265780243.0,1280842119.0,1295600768.0,1310152392.0,64.8,65.2,65.5,66.0,66.4,1823050000000.0,1827640000000.0,1856720000000.0,2039130000000.0,2103590000000.0,1458.104066,1443.882435,1449.610451,1573.885642,1605.605445,33477897323.0,35441483368.0,37478420449.0,39664276367.0,41932843845.0,4.42778873443604,4.42437934875488,4.34207916259766,4.17917728424072
228,Israel,2009,6529470.0,6680641.0,6847148.0,7020832.0,7190037.0,78.9,79.3,79.3,79.7,81.0,142657000000.0,154145000000.0,179162000000.0,216712000000.0,207953000000.0,20585.13861,21853.14024,24952.54759,29650.77025,27780.46372,1425395052.0,1487544015.0,1550343921.0,1618324097.0,1682185043.0,6.84111499786377,7.26126146316528,7.35297918319702,7.35891628265381
229,Israel,2010,6680641.0,6847148.0,7020832.0,7190037.0,7346446.0,79.3,79.3,79.7,81.0,80.0,154145000000.0,179162000000.0,216712000000.0,207953000000.0,234655000000.0,21853.14024,24952.54759,29650.77025,27780.46372,30780.02382,1487544015.0,1550343921.0,1618324097.0,1682185043.0,1750471944.0,7.26126146316528,7.35297918319702,7.35891628265381,7.43314790725708
230,Israel,2011,6847148.0,7020832.0,7190037.0,7346446.0,7487095.0,79.3,79.7,81.0,80.0,84.0,179162000000.0,216712000000.0,207953000000.0,234655000000.0,262294000000.0,24952.54759,29650.77025,27780.46372,30780.02382,33775.512,1550343921.0,1618324097.0,1682185043.0,1750471944.0,1819066681.0,7.35297918319702,7.35891628265381,7.43314790725708,7.1108546257019
231,Israel,2012,7020832.0,7190037.0,7346446.0,7487095.0,7614946.0,79.7,81.0,80.0,84.0,84.0,216712000000.0,207953000000.0,234655000000.0,262294000000.0,258417000000.0,29650.77025,27780.46372,30780.02382,33775.512,32667.60687,1618324097.0,1682185043.0,1750471944.0,1819066681.0,1893851260.0,7.35891628265381,7.43314790725708,7.1108546257019,7.32056331634521
