,Country,Target Year,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 2 years,Happy lag 1 year
259,India,2014,1265780243.0,1280842119.0,1295600768.0,65.2,65.5,66.0,1827640000000.0,1856720000000.0,2039130000000.0,1443.882435,1449.610451,1573.885642,35441483368.0,37478420449.0,39664276367.0,4.42437934875488,4.34207916259766
260,India,2015,1280842119.0,1295600768.0,1310152392.0,65.5,66.0,66.4,1856720000000.0,2039130000000.0,2103590000000.0,1449.610451,1573.885642,1605.605445,37478420449.0,39664276367.0,41932843845.0,4.34207916259766,4.17917728424072
266,Israel,2007,6529470.0,6680641.0,6847148.0,78.9,79.3,79.3,142657000000.0,154145000000.0,179162000000.0,20585.13861,21853.14024,24952.54759,1425395052.0,1487544015.0,1550343921.0,6.84111499786377,7.26126146316528
267,Israel,2008,6680641.0,6847148.0,7020832.0,79.3,79.3,79.7,154145000000.0,179162000000.0,216712000000.0,21853.14024,24952.54759,29650.77025,1487544015.0,1550343921.0,1618324097.0,7.26126146316528,7.35297918319702
268,Israel,2009,6847148.0,7020832.0,7190037.0,79.3,79.7,81.0,179162000000.0,216712000000.0,207953000000.0,24952.54759,29650.77025,27780.46372,1550343921.0,1618324097.0,1682185043.0,7.35297918319702,7.35891628265381
269,Israel,2010,7020832.0,7190037.0,7346446.0,79.7,81.0,80.0,216712000000.0,207953000000.0,234655000000.0,29650.77025,27780.46372,30780.02382,1618324097.0,1682185043.0,1750471944.0,7.35891628265381,7.43314790725708
270,Israel,2011,7190037.0,7346446.0,7487095.0,81.0,80.0,84.0,207953000000.0,234655000000.0,262294000000.0,27780.46372,30780.02382,33775.512,1682185043.0,1750471944.0,1819066681.0,7.43314790725708,7.1108546257019
271,Israel,2012,7346446.0,7487095.0,7614946.0,80.0,84.0,84.0,234655000000.0,262294000000.0,258417000000.0,30780.02382,33775.512,32667.60687,1750471944.0,1819066681.0,1893851260.0,7.1108546257019,7.32056331634521
272,Israel,2013,7487095.0,7614946.0,7734834.0,84.0,84.0,81.0,262294000000.0,258417000000.0,294167000000.0,33775.512,32667.60687,36499.45611,1819066681.0,1893851260.0,1956982946.0,7.32056331634521,7.40057039260864
273,Israel,2014,7614946.0,7734834.0,7854216.0,84.0,81.0,81.5,258417000000.0,294167000000.0,310945000000.0,32667.60687,36499.45611,37847.64994,1893851260.0,1956982946.0,2017334780.0,7.40057039260864,7.07941102981567
274,Israel,2015,7734834.0,7854216.0,7978496.0,81.0,81.5,81.7,294167000000.0,310945000000.0,300078000000.0,36499.45611,37847.64994,35808.43643,1956982946.0,2017334780.0,2080309704.0,7.07941102981567,7.159010887146
280,Italy,2007,58281209.0,58542619.0,58747862.0,79.4,79.8,80.0,1858220000000.0,1949550000000.0,2213100000000.0,32055.09208,33529.7266,37870.74751,18799805034.0,19296696911.0,19787299468.0,6.57441234588623,6.77977418899536
281,Italy,2008,58542619.0,58747862.0,58922116.0,79.8,80.0,79.9,1949550000000.0,2213100000000.0,2408660000000.0,33529.7266,37870.74751,40944.91242,19296696911.0,19787299468.0,20266202270.0,6.77977418899536,6.33380031585693
282,Italy,2009,58747862.0,58922116.0,59105622.0,80.0,79.9,89.0,2213100000000.0,2408660000000.0,2199930000000.0,37870.74751,40944.91242,37226.75719,19787299468.0,20266202270.0,20690941204.0,6.33380031585693,6.35423803329468
283,Italy,2010,58922116.0,59105622.0,59325232.0,79.9,89.0,88.0,2408660000000.0,2199930000000.0,2136100000000.0,40944.91242,37226.75719,36035.645,20266202270.0,20690941204.0,21127094887.0,6.35423803329468,6.05708646774292
284,Italy,2011,59105622.0,59325232.0,59589070.0,89.0,88.0,81.2,2199930000000.0,2136100000000.0,2294990000000.0,37226.75719,36035.645,38649.63948,20690941204.0,21127094887.0,21551372414.0,6.05708646774292,5.83931398391724
285,Italy,2012,59325232.0,59589070.0,59879469.0,88.0,81.2,81.3,2136100000000.0,2294990000000.0,2086960000000.0,36035.645,38649.63948,35051.52127,21127094887.0,21551372414.0,21954819628.0,5.83931398391724,6.00937366485596
286,Italy,2013,59589070.0,59879469.0,60166828.0,81.2,81.3,81.5,2294990000000.0,2086960000000.0,2141920000000.0,38649.63948,35051.52127,35560.08141,21551372414.0,21954819628.0,22324653965.0,6.00937366485596,6.0265851020813
287,Italy,2014,59879469.0,60166828.0,60409622.0,81.3,81.5,81.6,2086960000000.0,2141920000000.0,2162010000000.0,35051.52127,35560.08141,35565.72138,21954819628.0,22324653965.0,22674235720.0,6.0265851020813,5.84768390655518
288,Italy,2015,60166828.0,60409622.0,60578489.0,81.5,81.6,81.8,2141920000000.0,2162010000000.0,1836640000000.0,35560.08141,35565.72138,30242.38614,22324653965.0,22674235720.0,23035538202.0,5.84768390655518,5.95452404022217
294,Japan,2007,128326115.0,128422740.0,128494050.0,81.1,81.5,81.8,4831470000000.0,4601660000000.0,4579750000000.0,37812.89502,35991.546,35779.02454,47398980851.0,48666342725.0,49969476902.0,6.23819780349731,5.91067934036255
295,Japan,2008,128422740.0,128494050.0,128538644.0,81.5,81.8,81.9,4601660000000.0,4579750000000.0,5106680000000.0,35991.546,35779.02454,39876.30397,48666342725.0,49969476902.0,51201790632.0,5.91067934036255,5.84499931335449
296,Japan,2009,128494050.0,128538644.0,128555196.0,81.8,81.9,82.1,4579750000000.0,5106680000000.0,5289490000000.0,35779.02454,39876.30397,41308.99684,49969476902.0,51201790632.0,52365003563.0,5.84499931335449,6.05675268173218
297,Japan,2010,128538644.0,128555196.0,128542349.0,81.9,82.1,82.0,5106680000000.0,5289490000000.0,5759070000000.0,39876.30397,41308.99684,44968.15623,51201790632.0,52365003563.0,53579819796.0,6.05675268173218,6.26279354095459
298,Japan,2011,128555196.0,128542349.0,128498966.0,82.1,82.0,82.4,5289490000000.0,5759070000000.0,6233150000000.0,41308.99684,44968.15623,48760.07895,52365003563.0,53579819796.0,54844685895.0,6.26279354095459,5.96821641921997
299,Japan,2012,128542349.0,128498966.0,128423571.0,82.0,82.4,82.6,5759070000000.0,6233150000000.0,6272360000000.0,44968.15623,48760.07895,49145.28043,53579819796.0,54844685895.0,56150695737.0,5.96821641921997,5.95936155319214
300,Japan,2013,128498966.0,128423571.0,128314189.0,82.4,82.6,82.7,6233150000000.0,6272360000000.0,5212330000000.0,48760.07895,49145.28043,40898.6479,54844685895.0,56150695737.0,57466038395.0,5.95936155319214,5.92262077331543
301,Japan,2014,128423571.0,128314189.0,128168630.0,82.6,82.7,83.0,6272360000000.0,5212330000000.0,4896990000000.0,49145.28043,40898.6479,38475.39525,56150695737.0,57466038395.0,58729767154.0,5.92262077331543,5.87968444824219
302,Japan,2015,128314189.0,128168630.0,127985139.0,82.7,83.0,83.0,5212330000000.0,4896990000000.0,4444930000000.0,40898.6479,38475.39525,34960.63938,57466038395.0,58729767154.0,59953163599.0,5.87968444824219,5.95465087890625
308,Jordan,2007,5765639.0,5991547.0,6255290.0,71.7,71.9,72.1,12588665303.0,15056929760.0,17110587447.0,2183.394643,2513.028732,2735.378767,349948505.0,370474895.0,391911393.0,5.59805727005005,4.93005800247192
309,Jordan,2008,5991547.0,6255290.0,6556473.0,71.9,72.1,72.3,15056929760.0,17110587447.0,22657662393.0,2513.028732,2735.378767,3455.769953,370474895.0,391911393.0,412629390.0,4.93005800247192,5.99985933303833
310,Jordan,2009,6255290.0,6556473.0,6893258.0,72.1,72.3,72.5,17110587447.0,22657662393.0,24537876056.0,2735.378767,3455.769953,3559.692102,391911393.0,412629390.0,433966082.0,5.99985933303833,5.56994247436523
311,Jordan,2010,6556473.0,6893258.0,7261541.0,72.3,72.5,72.4,22657662393.0,24537876056.0,27133804225.0,3455.769953,3559.692102,3736.645462,412629390.0,433966082.0,454581407.0,5.56994247436523,5.53932762145996
312,Jordan,2011,6893258.0,7261541.0,7662858.0,72.5,72.4,72.8,24537876056.0,27133804225.0,29524149155.0,3559.692102,3736.645462,3852.890025,433966082.0,454581407.0,475825167.0,5.53932762145996,5.13199615478516
313,Jordan,2012,7261541.0,7662858.0,8089963.0,72.4,72.8,73.0,27133804225.0,29524149155.0,31634561690.0,3736.645462,3852.890025,3910.346894,454581407.0,475825167.0,499638968.0,5.13199615478516,5.17195272445679
314,Jordan,2013,7662858.0,8089963.0,8518992.0,72.8,73.0,73.1,29524149155.0,31634561690.0,34454440141.0,3852.890025,3910.346894,4044.426869,475825167.0,499638968.0,523452120.0,5.17195272445679,5.33302164077759
315,Jordan,2014,8089963.0,8518992.0,8918822.0,73.0,73.1,73.3,31634561690.0,34454440141.0,36847643521.0,3910.346894,4044.426869,4131.44735,499638968.0,523452120.0,549347142.0,5.33302164077759,5.4045934677124
316,Jordan,2015,8518992.0,8918822.0,9266573.0,73.1,73.3,73.4,34454440141.0,36847643521.0,38587017887.0,4044.426869,4131.44735,4164.108769,523452120.0,549347142.0,574903362.0,5.4045934677124,5.27128458023071
322,Kazakhstan,2007,15402803.0,15551263.0,15702112.0,63.9,64.4,64.7,57123671734.0,81003884545.0,104850000000.0,3771.278957,5291.575305,6771.414797,9950794985.0,10171925065.0,10399474649.0,5.71855354309082,5.88641977310181
323,Kazakhstan,2008,15551263.0,15702112.0,15862126.0,64.4,64.7,64.4,81003884545.0,104850000000.0,133442000000.0,5291.575305,6771.414797,8458.017154,10171925065.0,10399474649.0,10628144743.0,5.88641977310181,5.38256311416626
324,Kazakhstan,2009,15702112.0,15862126.0,16043015.0,64.7,64.4,64.7,104850000000.0,133442000000.0,115309000000.0,6771.414797,8458.017154,7165.223175,10399474649.0,10628144743.0,10851254805.0,5.38256311416626,5.51428651809692
325,Kazakhstan,2010,15862126.0,16043015.0,16252273.0,64.4,64.7,64.6,133442000000.0,115309000000.0,148047000000.0,8458.017154,7165.223175,9070.488253,10628144743.0,10851254805.0,11100321718.0,5.51428651809692,5.73566293716431
326,Kazakhstan,2011,16043015.0,16252273.0,16490669.0,64.7,64.6,65.0,115309000000.0,148047000000.0,192627000000.0,7165.223175,9070.488253,11634.0012,10851254805.0,11100321718.0,11339981809.0,5.73566293716431,5.75946950912476
327,Kazakhstan,2012,16252273.0,16490669.0,16751523.0,64.6,65.0,65.3,148047000000.0,192627000000.0,207999000000.0,9070.488253,11634.0012,12386.69927,11100321718.0,11339981809.0,11585818298.0,5.75946950912476,5.83548307418823
328,Kazakhstan,2013,16490669.0,16751523.0,17026118.0,65.0,65.3,66.6,192627000000.0,207999000000.0,236635000000.0,11634.0012,12386.69927,13890.63096,11339981809.0,11585818298.0,11839547143.0,5.83548307418823,5.97009754180908
329,Kazakhstan,2014,16751523.0,17026118.0,17302619.0,65.3,66.6,67.8,207999000000.0,236635000000.0,221416000000.0,12386.69927,13890.63096,12807.26069,11585818298.0,11839547143.0,12118579241.0,5.97009754180908,5.94999504089355
330,Kazakhstan,2015,17026118.0,17302619.0,17572010.0,66.6,67.8,67.8,236635000000.0,221416000000.0,184388000000.0,13890.63096,12807.26069,10510.77189,11839547143.0,12118579241.0,12407161642.0,5.94999504089355,5.53355169296265
336,Kenya,2007,36624897.0,37649039.0,38705934.0,51.9,51.9,52.1,18737897745.0,25825524821.0,31958195182.0,511.6163943,685.9544229,825.666555,260780526.0,270116187.0,279656854.0,4.57565784454346,4.01527452468872
337,Kenya,2008,37649039.0,38705934.0,39791984.0,51.9,52.1,52.4,25825524821.0,31958195182.0,35895153328.0,685.9544229,825.666555,902.0699578,270116187.0,279656854.0,289567899.0,4.01527452468872,4.27043485641479
338,Kenya,2009,38705934.0,39791984.0,40901798.0,52.1,52.4,53.0,31958195182.0,35895153328.0,42347217913.0,825.666555,902.0699578,1035.338787,279656854.0,289567899.0,301534351.0,4.27043485641479,4.255859375
339,Kenya,2010,39791984.0,40901798.0,42030684.0,52.4,53.0,54.1,35895153328.0,42347217913.0,45405587557.0,902.0699578,1035.338787,1080.296184,289567899.0,301534351.0,313279143.0,4.255859375,4.40531015396118
340,Kenya,2011,40901798.0,42030684.0,43178270.0,53.0,54.1,55.3,42347217913.0,45405587557.0,46869457318.0,1035.338787,1080.296184,1085.487152,301534351.0,313279143.0,326207316.0,4.40531015396118,4.54733514785767
341,Kenya,2012,42030684.0,43178270.0,44343469.0,54.1,55.3,56.8,45405587557.0,46869457318.0,56396706006.0,1080.296184,1085.487152,1271.815383,313279143.0,326207316.0,338195324.0,4.54733514785767,3.79538321495056
342,Kenya,2013,43178270.0,44343469.0,45519986.0,55.3,56.8,57.9,46869457318.0,56396706006.0,61671425370.0,1085.487152,1271.815383,1354.820833,326207316.0,338195324.0,350965385.0,3.79538321495056,4.90457963943481
343,Kenya,2014,44343469.0,45519986.0,46700063.0,56.8,57.9,59.1,56396706006.0,61671425370.0,68285768554.0,1271.815383,1354.820833,1462.220052,338195324.0,350965385.0,364738351.0,4.90457963943481,4.35761785507202
344,Kenya,2015,45519986.0,46700063.0,47878339.0,57.9,59.1,63.0,61671425370.0,68285768554.0,70120413329.0,1354.820833,1462.220052,1464.554009,350965385.0,364738351.0,381039585.0,4.35761785507202,4.39612770080566
350,Kosovo,2007,1705780.0,1719536.0,1733404.0,68.4,68.7,69.2,5001776769.0,5125894693.0,5154014318.0,2545.449915,2747.555339,2939.559334,5925.164,62655.51,82723.37,5.10390615463257,5.52165985107422
351,Kosovo,2008,1719536.0,1733404.0,1747383.0,68.7,69.2,70.1,5125894693.0,5154014318.0,5181776769.0,2747.555339,2939.559334,2965.449915,62655.51,82723.37,93011.34,5.52165985107422,5.891432762146
352,Kosovo,2009,1733404.0,1747383.0,1761474.0,69.2,70.1,70.8,5154014318.0,5181776769.0,5015894693.0,2939.559334,2965.449915,2847.555339,82723.37,93011.34,79751.05,5.891432762146,5.17660140991211
353,Kosovo,2010,1747383.0,1761474.0,1775680.0,70.1,70.8,72.0,5181776769.0,5015894693.0,5344014318.0,2965.449915,2847.555339,3009.559334,93011.34,79751.05,81228.35,5.17660140991211,4.85950183868408
354,Kosovo,2011,1761474.0,1775680.0,1790957.0,70.8,72.0,72.3,5015894693.0,5344014318.0,6341737194.0,2847.555339,3009.559334,3540.891789,79751.05,81228.35,67466.42,4.85950183868408,5.63958835601807
355,Kosovo,2012,1775680.0,1790957.0,1807106.0,72.0,72.3,72.7,5344014318.0,6341737194.0,6163785173.0,3009.559334,3540.891789,3410.85978,81228.35,67466.42,100869.5,5.63958835601807,6.12575817108154
356,Kosovo,2013,1790957.0,1807106.0,1815606.0,72.3,72.7,73.0,6341737194.0,6163785173.0,6735731173.0,3540.891789,3410.85978,3704.784221,67466.42,100869.5,142814.3,6.12575817108154,5.00037527084351
357,Kosovo,2014,1807106.0,1815606.0,1820631.0,72.7,73.0,73.3,6163785173.0,6735731173.0,7074657898.0,3410.85978,3704.784221,3902.676013,100869.5,142814.3,199838.5,5.00037527084351,5.07746076583862
358,Kosovo,2015,1815606.0,1820631.0,1804944.0,73.0,73.3,73.6,6735731173.0,7074657898.0,6295820482.0,3704.784221,3902.676013,3520.766449,142814.3,199838.5,221943.4,5.07746076583862,5.75941228866577
364,Kyrgyzstan,2007,5075340.0,5124379.0,5184384.0,66.6,67.2,66.7,2460248026.0,2834168889.0,3802566171.0,484.7454606,553.0755804,733.4653781,728431710.0,733850851.0,740369794.0,4.69776153564453,4.73658800125122
365,Kyrgyzstan,2008,5124379.0,5184384.0,5254969.0,67.2,66.7,66.6,2834168889.0,3802566171.0,5139957785.0,553.0755804,733.4653781,978.1138166,733850851.0,740369794.0,747916777.0,4.73658800125122,5.06905364990234
366,Kyrgyzstan,2009,5184384.0,5254969.0,5334708.0,66.7,66.6,67.1,3802566171.0,5139957785.0,4690062255.0,733.4653781,978.1138166,879.1600693,740369794.0,747916777.0,754653386.0,5.06905364990234,4.99641084671021
367,Kyrgyzstan,2010,5254969.0,5334708.0,5422298.0,66.6,67.1,66.9,5139957785.0,4690062255.0,4794357795.0,978.1138166,879.1600693,884.1929741,747916777.0,754653386.0,760967348.0,4.99641084671021,4.92104911804199
368,Kyrgyzstan,2011,5334708.0,5422298.0,5517927.0,67.1,66.9,66.7,4690062255.0,4794357795.0,6197766119.0,879.1600693,884.1929741,1123.20553,754653386.0,760967348.0,768520852.0,4.92104911804199,5.20778560638428
369,Kyrgyzstan,2012,5422298.0,5517927.0,5621583.0,66.9,66.7,67.2,4794357795.0,6197766119.0,6605139933.0,884.1929741,1123.20553,1174.960849,760967348.0,768520852.0,778519250.0,5.20778560638428,5.40242671966553
370,Kyrgyzstan,2013,5517927.0,5621583.0,5731312.0,66.7,67.2,67.6,6197766119.0,6605139933.0,7335027592.0,1123.20553,1174.960849,1279.816487,768520852.0,778519250.0,788177555.0,5.40242671966553,5.25219297409058
371,Kyrgyzstan,2014,5621583.0,5731312.0,5844521.0,67.2,67.6,68.5,6605139933.0,7335027592.0,7468096567.0,1174.960849,1279.816487,1277.794462,778519250.0,788177555.0,798272973.0,5.25219297409058,4.90537595748901
372,Kyrgyzstan,2015,5731312.0,5844521.0,5959126.0,67.6,68.5,68.8,7335027592.0,7468096567.0,6678178340.0,1279.816487,1277.794462,1120.664061,788177555.0,798272973.0,808551854.0,4.90537595748901,4.85653400421143
378,Lithuania,2007,3344259.0,3303329.0,3258984.0,71.6,71.2,71.4,26097677572.0,30183575104.0,39697891352.0,7854.765279,9230.707981,12285.44705,1348638373.0,1363072452.0,1378896505.0,5.80828475952148,5.55392599105835
379,Lithuania,2008,3303329.0,3258984.0,3212867.0,71.2,71.4,71.6,30183575104.0,39697891352.0,47797551588.0,9230.707981,12285.44705,14944.99665,1363072452.0,1378896505.0,1394099006.0,5.55392599105835,5.46692085266113
380,Lithuania,2009,3258984.0,3212867.0,3167270.0,71.4,71.6,71.6,39697891352.0,47797551588.0,37388122046.0,12285.44705,14944.99665,11820.77616,1378896505.0,1394099006.0,1407141304.0,5.46692085266113,5.06582498550415
381,Lithuania,2010,3212867.0,3167270.0,3123825.0,71.6,71.6,78.0,47797551588.0,37388122046.0,37128694028.0,14944.99665,11820.77616,11987.50841,1394099006.0,1407141304.0,1421086393.0,5.06582498550415,5.43243741989136
382,Lithuania,2011,3167270.0,3123825.0,3083402.0,71.6,78.0,76.0,37388122046.0,37128694028.0,43535051482.0,11820.77616,11987.50841,14376.94786,1407141304.0,1421086393.0,1435379198.0,5.43243741989136,5.77103710174561
383,Lithuania,2012,3123825.0,3083402.0,3045561.0,78.0,76.0,72.0,37128694028.0,43535051482.0,42927454291.0,11987.50841,14376.94786,14367.70942,1421086393.0,1435379198.0,1449724496.0,5.77103710174561,5.59568929672241
384,Lithuania,2013,3083402.0,3045561.0,3008938.0,76.0,72.0,71.1,43535051482.0,42927454291.0,46523420074.0,14376.94786,14367.70942,15729.65247,1435379198.0,1449724496.0,1463079340.0,5.59568929672241,6.12572383880615
385,Lithuania,2014,3045561.0,3008938.0,2971498.0,72.0,71.1,72.2,42927454291.0,46523420074.0,48533659592.0,14367.70942,15729.65247,16551.0182,1449724496.0,1463079340.0,1476186031.0,6.12572383880615,5.71137809753418
386,Lithuania,2015,3008938.0,2971498.0,2931872.0,71.1,72.2,72.4,46523420074.0,48533659592.0,41435533340.0,15729.65247,16551.0182,14263.96458,1463079340.0,1476186031.0,1489505521.0,5.71137809753418,5.86555242538452
392,Mexico,2007,106005199.0,107560155.0,109170503.0,74.8,75.0,75.0,877476000000.0,975387000000.0,1052700000000.0,8277.671564,9068.294218,9642.680517,13061855319.0,13538420535.0,14018207347.0,6.52537822723389,6.82903623580933
393,Mexico,2008,107560155.0,109170503.0,110815272.0,75.0,75.0,75.0,975387000000.0,1052700000000.0,1109990000000.0,9068.294218,9642.680517,10016.57121,13538420535.0,14018207347.0,14511187017.0,6.82903623580933,6.96281909942627
394,Mexico,2009,109170503.0,110815272.0,112463886.0,75.0,75.0,75.4,1052700000000.0,1109990000000.0,900045000000.0,9642.680517,10016.57121,8002.972178,14018207347.0,14511187017.0,14987090071.0,6.96281909942627,6.8023886680603
395,Mexico,2010,110815272.0,112463886.0,114092961.0,75.0,75.4,75.3,1109990000000.0,900045000000.0,1057800000000.0,10016.57121,8002.972178,9271.398396,14511187017.0,14987090071.0,15450872585.0,6.8023886680603,6.90951538085938
396,Mexico,2011,112463886.0,114092961.0,115695468.0,75.4,75.3,75.8,900045000000.0,1057800000000.0,1180490000000.0,8002.972178,9271.398396,10203.4213,14987090071.0,15450872585.0,15935037426.0,6.90951538085938,7.32018518447876
397,Mexico,2012,114092961.0,115695468.0,117274156.0,75.3,75.8,76.0,1057800000000.0,1180490000000.0,1201090000000.0,9271.398396,10203.4213,10241.72783,15450872585.0,15935037426.0,16431337006.0,7.32018518447876,7.44254636764526
398,Mexico,2013,115695468.0,117274156.0,118827158.0,75.8,76.0,75.6,1180490000000.0,1201090000000.0,1274440000000.0,10203.4213,10241.72783,10725.18359,15935037426.0,16431337006.0,16921466676.0,7.44254636764526,6.67983102798462
399,Mexico,2014,117274156.0,118827158.0,120355137.0,76.0,75.6,75.7,1201090000000.0,1274440000000.0,1315350000000.0,10241.72783,10725.18359,10928.91601,16431337006.0,16921466676.0,17402595462.0,6.67983102798462,6.23628711700439
400,Mexico,2015,118827158.0,120355137.0,121858251.0,75.6,75.7,75.6,1274440000000.0,1315350000000.0,1171870000000.0,10725.18359,10928.91601,9616.645558,16921466676.0,17402595462.0,17884570053.0,6.23628711700439,6.82417297363281
406,Moldova,2007,4159296.0,4146264.0,4130129.0,67.82,68.022,68.302,2988348836.0,3408244549.0,4401189466.0,1034.707058,1183.379211,1531.685476,1304639013.0,1309668760.0,1314647314.0,4.77491807937622,5.50275611877441
407,Moldova,2008,4146264.0,4130129.0,4112886.0,68.022,68.302,68.671,3408244549.0,4401189466.0,6054849885.0,1183.379211,1531.685476,2111.201495,1309668760.0,1314647314.0,1319837694.0,5.50275611877441,5.55437421798706
408,Moldova,2009,4130129.0,4112886.0,4097515.0,68.302,68.671,69.119,4401189466.0,6054849885.0,5439422031.0,1531.685476,2111.201495,1899.010117,1314647314.0,1319837694.0,1324377206.0,5.55437421798706,5.5897364616394
409,Moldova,2010,4112886.0,4097515.0,4086090.0,68.671,69.119,69.616,6054849885.0,5439422031.0,6974982393.0,2111.201495,1899.010117,2437.537683,1319837694.0,1324377206.0,1329208111.0,5.5897364616394,5.7922625541687
410,Moldova,2011,4097515.0,4086090.0,4079167.0,69.119,69.616,70.119,5439422031.0,6974982393.0,8414351672.0,1899.010117,2437.537683,2942.252807,1324377206.0,1329208111.0,1334153085.0,5.7922625541687,5.9957127571106
411,Moldova,2012,4086090.0,4079167.0,4075804.0,69.616,70.119,70.581,6974982393.0,8414351672.0,8709138765.0,2437.537683,2942.252807,3045.730612,1329208111.0,1334153085.0,1338918767.0,5.9957127571106,5.75605916976929
412,Moldova,2013,4079167.0,4075804.0,4074585.0,70.119,70.581,70.968,8414351672.0,8709138765.0,9496717702.0,2942.252807,3045.730612,3322.04998,1334153085.0,1338918767.0,1343818125.0,5.75605916976929,5.91705846786499
413,Moldova,2014,4075804.0,4074585.0,4073407.0,70.581,70.968,71.267,8709138765.0,9496717702.0,9510198962.0,3045.730612,3322.04998,3328.79433,1338918767.0,1343818125.0,1348576941.0,5.91705846786499,6.01747226715088
414,Moldova,2015,4074585.0,4073407.0,4070705.0,70.968,71.267,71.478,9496717702.0,9510198962.0,7745241913.0,3322.04998,3328.79433,2732.46073,1343818125.0,1348576941.0,1353358701.0,6.01747226715088,5.57778406143188
420,Philippines,2007,86326251.0,87888675.0,89405482.0,66.8,66.8,66.8,107420000000.0,127653000000.0,155980000000.0,1244.348741,1452.438089,1744.639979,1854540721.0,1921064345.0,1991827319.0,5.07356214523315,4.58906507492065
421,Philippines,2008,87888675.0,89405482.0,90901967.0,66.8,66.8,67.2,127653000000.0,155980000000.0,181625000000.0,1452.438089,1744.639979,1998.02692,1921064345.0,1991827319.0,2069127838.0,4.58906507492065,4.87991094589233
422,Philippines,2009,89405482.0,90901967.0,92414161.0,66.8,67.2,67.3,155980000000.0,181625000000.0,175975000000.0,1744.639979,1998.02692,1904.196388,1991827319.0,2069127838.0,2145619669.0,4.87991094589233,4.94151401519775
423,Philippines,2010,90901967.0,92414161.0,93966784.0,67.2,67.3,67.0,181625000000.0,175975000000.0,208369000000.0,1998.02692,1904.196388,2217.472153,2069127838.0,2145619669.0,2228572356.0,4.94151401519775,4.99395656585693
424,Philippines,2011,92414161.0,93966784.0,95570049.0,67.3,67.0,67.3,175975000000.0,208369000000.0,234217000000.0,1904.196388,2217.472153,2450.735694,2145619669.0,2228572356.0,2312314868.0,4.99395656585693,5.00196504592896
425,Philippines,2012,93966784.0,95570049.0,97212639.0,67.0,67.3,67.5,208369000000.0,234217000000.0,261921000000.0,2217.472153,2450.735694,2694.305109,2228572356.0,2312314868.0,2400723081.0,5.00196504592896,4.97692537307739
426,Philippines,2013,95570049.0,97212639.0,98871558.0,67.3,67.5,67.5,234217000000.0,261921000000.0,283903000000.0,2450.735694,2694.305109,2871.429701,2312314868.0,2400723081.0,2496517164.0,4.97692537307739,5.31255006790161
427,Philippines,2014,97212639.0,98871558.0,100513137.0,67.5,67.5,68.0,261921000000.0,283903000000.0,297483000000.0,2694.305109,2871.429701,2959.645435,2400723081.0,2496517164.0,2597701089.0,5.31255006790161,5.54748916625977
428,Philippines,2015,98871558.0,100513137.0,102113206.0,67.5,68.0,67.9,283903000000.0,297483000000.0,306446000000.0,2871.429701,2959.645435,3001.043182,2496517164.0,2597701089.0,2709843495.0,5.54748916625977,5.430832862854
434,Russia,2007,143672125.0,143403258.0,143266207.0,65.752,66.238,66.807,764017107992.0,989930542279.0,1299705764824.0,5317.782472,6903.12449,9071.96325,1511914000.0,1527049000.0,1528156000.0,5.22286748886108,5.6187539100647
435,Russia,2008,143403258.0,143266207.0,143248764.0,66.238,66.807,67.426,989930542279.0,1299705764824.0,1660846387625.0,6903.12449,9071.96325,11594.14114,1527049000.0,1528156000.0,1592303000.0,5.6187539100647,5.15822792053223
436,Russia,2009,143266207.0,143248764.0,143326904.0,66.807,67.426,68.07,1299705764824.0,1660846387625.0,1222644282202.0,9071.96325,11594.14114,8530.459028,1528156000.0,1592303000.0,1597325000.0,5.15822792053223,5.38477325439453
437,Russia,2010,143248764.0,143326904.0,143479273.0,67.426,68.07,68.715,1660846387625.0,1222644282202.0,1524917468442.0,11594.14114,8530.459028,10628.13769,1592303000.0,1597325000.0,1621468000.0,5.38477325439453,5.38876628875732
438,Russia,2011,143326904.0,143479273.0,143703027.0,68.07,68.715,69.343,1222644282202.0,1524917468442.0,2045925608274.0,8530.459028,10628.13769,14237.17823,1597325000.0,1621468000.0,1504779000.0,5.38876628875732,5.62073564529419
439,Russia,2012,143479273.0,143703027.0,143993888.0,68.715,69.343,69.944,1524917468442.0,2045925608274.0,2208295773643.0,10628.13769,14237.17823,15336.03825,1621468000.0,1504779000.0,1595843000.0,5.62073564529419,5.53717756271362
440,Russia,2013,143703027.0,143993888.0,144325456.0,69.343,69.944,70.508,2045925608274.0,2208295773643.0,2292473246621.0,14237.17823,15336.03825,15884.05338,1504779000.0,1595843000.0,1677642000.0,5.53717756271362,6.03697681427002
441,Russia,2014,143993888.0,144325456.0,144664837.0,69.944,70.508,71.018,2208295773643.0,2292473246621.0,2059241965491.0,15336.03825,15884.05338,14234.5715,1595843000.0,1677642000.0,1683891000.0,6.03697681427002,5.99553871154785
442,Russia,2015,144325456.0,144664837.0,144985059.0,70.508,71.018,71.464,2292473246621.0,2059241965491.0,1363481063447.0,15884.05338,14234.5715,9404.28671,1677642000.0,1683891000.0,1640747000.0,5.99553871154785,5.85494565963745
