,Target Score
439,7.37479209899902
440,7.39809274673462
451,5.49746894836426
452,5.4640154838562
463,3.44502329826355
464,3.64015483856201
475,6.01156187057495
476,6.02215147018433
487,5.1856894493103
488,4.87207365036011
499,4.32171487808228
500,4.94805145263672
511,4.66190910339355
512,4.70176219940186
523,7.2334451675415
524,7.157151222229
535,6.8826847076416
536,6.94370126724243
547,6.37171459197998
548,6.60033702850342
559,3.61647987365723
560,2.69352316856384
