,Target Score
0,6.46838712692261
1,6.58226013183594
2,6.67111444473267
3,6.69713068008423
4,6.42722129821777
5,6.03933000564575
11,4.7244439125061
12,4.66016101837158
13,4.63556480407715
14,4.63347387313843
15,4.5561408996582
16,4.3097710609436
22,6.0188946723938
23,5.76742887496948
24,5.8647985458374
25,5.83432912826538
26,5.76972341537476
27,5.65055274963379
33,6.66000366210938
34,7.14028263092041
35,6.98099899291992
36,6.54689693450928
37,6.37481737136841
38,6.3329291343689
44,3.89870691299438
45,3.67446684837341
46,3.88330554962158
47,4.16216468811035
48,4.46125936508179
49,4.58584213256836
55,4.24463415145874
56,4.27103805541992
57,4.24044132232666
58,5.03796482086182
59,4.81623220443726
60,5.07405138015747
66,7.41514444351196
67,7.59379386901855
68,7.30425786972046
69,7.41277265548706
70,7.24484586715698
71,7.41486835479736
77,6.59912872314453
78,6.74015378952026
79,6.84423828125
80,6.53274965286255
81,6.57905626296997
82,6.32011938095093
88,5.09491729736328
89,5.24109029769897
90,5.19561910629272
91,5.30387783050537
92,5.32495594024658
93,5.09906148910522
99,6.37487983703613
100,6.60655069351196
101,6.44878911972046
102,6.38757181167603
103,6.23371505737305
104,6.15734195709229
110,7.51990938186646
111,7.58860683441162
112,7.50755929946899
113,7.5144248008728
114,7.5577826499939
115,7.59370231628418
121,4.75331115722656
122,5.01551532745361
123,5.38733196258545
124,5.06186246871948
125,5.23869848251343
126,5.60520267486572
132,5.96071624755859
133,6.01920604705811
134,5.94585180282593
135,5.96407508850098
136,6.11543750762939
137,5.83951854705811
143,4.20415687561035
144,3.55852031707764
145,4.88507270812988
146,4.76253843307495
147,4.55674076080322
148,3.92934417724609
154,5.93437147140503
155,6.32506322860718
156,5.85652351379395
157,6.01849603652954
158,6.13982486724854
159,6.33931827545166
165,4.25444555282593
166,4.34892082214355
167,4.28750801086426
168,4.12194061279297
169,4.44838619232178
170,4.45077466964722
176,6.70236206054688
177,6.96512508392334
178,6.98421430587769
179,7.03713750839233
180,6.87376308441162
181,7.07432460784912
187,5.05726194381714
188,4.96505308151245
189,3.86035108566284
190,3.98591613769531
191,4.51441144943237
192,5.48131084442139
198,4.72014665603638
199,4.42778873443604
200,4.42437934875488
201,4.34207916259766
202,4.17917728424072
203,4.04611110687256
209,7.1108546257019
210,7.32056331634521
211,7.40057039260864
212,7.07941102981567
213,7.159010887146
214,7.33103609085083
220,5.83931398391724
221,6.00937366485596
222,6.0265851020813
223,5.84768390655518
224,5.95452404022217
225,6.19887018203735
231,5.96821641921997
232,5.95936155319214
233,5.92262077331543
234,5.87968444824219
235,5.95465087890625
236,5.9106764793396
242,5.13199615478516
243,5.17195272445679
244,5.33302164077759
245,5.4045934677124
246,5.27128458023071
247,4.80808258056641
253,5.75946950912476
254,5.83548307418823
255,5.97009754180908
256,5.94999504089355
257,5.53355169296265
258,5.88235139846802
264,4.54733514785767
265,3.79538321495056
266,4.90457963943481
267,4.35761785507202
268,4.39612770080566
269,4.47565412521362
275,5.63958835601807
276,6.12575817108154
277,5.00037527084351
278,5.07746076583862
279,5.75941228866577
280,6.14919996261597
286,5.20778560638428
287,5.40242671966553
288,5.25219297409058
289,4.90537595748901
290,4.85653400421143
291,5.62953662872314
297,5.77103710174561
298,5.59568929672241
299,6.12572383880615
300,5.71137809753418
301,5.86555242538452
302,6.27294063568115
308,7.32018518447876
309,7.44254636764526
310,6.67983102798462
311,6.23628711700439
312,6.82417297363281
313,6.41029930114746
319,5.9957127571106
320,5.75605916976929
321,5.91705846786499
322,6.01747226715088
323,5.57778406143188
324,5.32553052902222
330,5.00196504592896
331,4.97692537307739
332,5.31255006790161
333,5.54748916625977
334,5.430832862854
335,5.5942702293396
341,5.62073564529419
342,5.53717756271362
343,6.03697681427002
344,5.99553871154785
345,5.85494565963745
346,5.57874298095703
352,6.39635944366455
353,6.49513292312622
354,6.27837800979614
355,6.34549188613892
356,6.47392129898071
357,6.29428243637085
363,5.13388776779175
364,3.66072726249695
365,4.82845640182495
366,4.88732576370239
367,4.76973962783813
368,4.51365518569946
374,6.00328683853149
375,5.9588098526001
376,5.80132532119751
377,5.78021144866943
378,5.97056436538696
379,5.87388706207275
385,6.29069042205811
386,6.15002727508545
387,6.45647764205933
388,6.38066339492798
389,6.31861209869385
390,6.23017311096191
396,7.56014776229858
397,7.43401050567627
398,7.23914766311646
399,7.28892230987549
400,7.36874437332153
401,7.28680467605591
407,4.49657154083252
408,4.96652126312256
409,4.89615774154663
410,5.12421083450317
411,5.10372114181519
412,5.82923412322998
418,4.00689744949341
419,3.85239481925964
420,3.48327851295471
421,3.66059732437134
422,2.90273427963257
423,3.3471212387085
429,6.30023527145386
430,6.23102474212646
431,6.98546361923218
432,6.20176267623901
433,6.07363986968994
434,5.9388952255249
440,5.3090763092041
441,4.88817739486694
442,5.57979440689087
443,5.51446533203125
444,5.32622194290161
445,5.607262134552
451,4.30923795700073
452,3.7095787525177
453,3.7699191570282
454,4.23768663406372
455,4.23326110839844
456,4.00051689147949
462,5.03034210205078
463,4.71080255508423
464,4.29732990264893
465,3.96454286575317
466,4.02869033813477
467,4.3110671043396
473,6.880784034729
474,6.91805505752563
475,6.75814771652222
476,6.51544523239136
477,6.82428359985352
478,7.10327339172363
484,7.02622699737549
485,7.24928522109985
486,7.15111446380615
487,6.86394691467285
488,6.80359983444214
489,6.99175930023193
495,6.44972848892212
496,6.44446468353271
497,6.56144380569458
498,6.62808036804199
499,6.17148542404175
500,6.33600997924805
506,4.95510053634644
507,4.69018793106079
508,4.18445062637329
509,3.70319128036499
510,3.73540019989014
511,3.63830018043518
6,5.79279661178589
7,6.08556079864502
17,4.49921703338623
18,5.11421680450439
28,5.91573429107666
29,5.67427062988281
39,6.19092178344727
40,6.45114898681641
50,5.1218376159668
51,4.99828481674194
61,5.25073766708374
62,4.93673753738403
72,7.17549657821655
73,7.10907649993896
83,6.43622064590454
84,5.94225025177002
94,5.13143396377563
95,5.14412021636963
105,5.98351240158081
106,6.35029792785645
116,7.64878559112549
