Country,Year,Population
Kosovo,2005,1705780.0
Kosovo,2006,1719536.0
Kosovo,2007,1733404.0
Kosovo,2008,1747383.0
Kosovo,2009,1761474.0
Kosovo,2010,1775680.0
Kosovo,2011,1790957.0
Kosovo,2012,1807106.0
Kosovo,2013,1815606.0
Kosovo,2014,1820631.0
Kosovo,2015,1804944.0
Kosovo,2016,1771604.0
Kosovo,2017,1783531.0
Kosovo,2018,1778100.0
Kosovo,2019,1777104.0
Kosovo,2020,1766821.0
