,Target Year,Population lag 3 years,Population lag 2 years,Population lag 1 year,Population Current,Life Ex lag 3 years,Life Ex lag 2 years,Life Ex lag 1 year,Life Ex Current,GDP lag 3 years,GDP lag 2 years,GDP lag 1 year,GDP Current,GDP_cap lag 3 years,GDP_cap lag 2 years,GDP_cap lag 1 year,GDP_cap Current,CO2 lag 3 years,CO2 lag 2 years,CO2 lag 1 year,CO2 Current,Happy lag 3 years,Happy lag 2 years,Happy lag 1 year,Argentina,Bangladesh,Bolivia,Brazil,Cambodia,Cameroon,Canada,Chile,China,Colombia,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Georgia,Germany,Ghana,India,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kyrgyzstan,Lithuania,Mexico,Moldova,Philippines,Russia,Saudi Arabia,South Africa,South Korea,Spain,Sweden,Tajikistan,Tanzania,Thailand,Turkey,Uganda,Ukraine,United Kingdom,United States,Uruguay,Zimbabwe
189,0.6546536707079772,-0.3315681494268734,-0.3315503489329876,-0.33148087308415797,-0.3313922708135288,-0.6161329534377258,-0.6130742186373755,-0.6281252356962149,-0.5358826039535078,-0.36708347792028306,-0.3574244706723948,-0.3579313095417128,-0.3469151731349571,-0.24964362785187985,-0.1281100944318438,-0.11070198906034938,-0.030350240929998606,-0.15110294133738034,-0.15276193322336312,-0.15438865269436788,-0.1558826154428142,0.09451144600250719,0.1616538633092517,0.2868490514458875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,1.091089451179962,-0.3306374420823764,-0.3305411389223165,-0.3304278461128596,-0.3303410310048285,-0.5721877174880933,-0.5797827810653235,-0.4811986606924899,-0.39703449780000116,-0.34842220335718377,-0.351245298477071,-0.3468787876887917,-0.35257352566911526,-0.09545212941183272,-0.08376320072540235,-0.0235853725547624,-0.09349821494493002,-0.1467606741807607,-0.14839773488210642,-0.14997618725866207,-0.15112646613458605,0.16572654076813448,0.28779731528475083,0.2679682265320955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,1.5275252316519468,-0.3296190578240775,-0.3294787667797378,-0.3293675099428967,-0.32931682297915915,-0.5392287905258696,-0.4355198849197638,-0.34557412991982,-0.39703449780000116,-0.3419874543086427,-0.3397343190999377,-0.35275280396479414,-0.3663403617053073,-0.05017845781908643,0.004844305333672606,-0.08634058475801364,-0.22735698796440823,-0.14230650032298903,-0.1438934279381605,-0.14512368620432797,-0.14620753029630493,0.2918432682290656,0.26895982401324936,-0.1231668850560525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,-1.5275252316519468,-0.25203262541021115,-0.24969138256297488,-0.2472892930409338,-0.24483784743445616,-2.0113941948385388,-2.0668003259503274,-2.1199950741955798,-2.1789185267699986,-0.42121251920983976,-0.42447462924415347,-0.4258770715984514,-0.42154930284932884,-0.7644470652184491,-0.7731388065649882,-0.7803853663959245,-0.7874333318830817,-0.3474985260776333,-0.34927909543139857,-0.3510081839981878,-0.35275396531669195,-1.0145703318014871,-1.544012650901442,-1.30952115693169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,-1.091089451179962,-0.2480343348297993,-0.24560239403211762,-0.24312446869169738,-0.24061840281381128,-2.0113941948385388,-2.044606034235626,-2.0860889415024126,-2.1094944736932453,-0.4182456247534447,-0.4220094440907722,-0.4243575396825867,-0.41915045561921604,-0.7539608915884791,-0.7649073531858943,-0.7759596295185737,-0.7796652983710287,-0.34732937845703243,-0.34910972528107936,-0.35083582620617476,-0.35254999511824636,-1.539578614141753,-1.3049090417574685,-1.3232108522478718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,-0.6546536707079772,-0.24390817525135766,-0.24140060861924542,-0.23886851328418995,-0.23632644762130037,-1.9894215768637225,-2.0113145966635737,-2.018276676116078,-1.982217043052531,-0.4156784770322333,-0.42042688213982776,-0.4218672622408291,-0.41801336818735324,-0.7455574142337175,-0.7604058754781302,-0.7682399108885573,-0.7770448013755417,-0.34715651644736917,-0.34893378001630165,-0.3506277239076835,-0.3523498031519942,-1.300525661038864,-1.3185673176646675,-1.1828425466995836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,-0.2182178902359924,-0.23966819340815984,-0.23710688339830596,-0.23453941987199706,-0.2319633961780609,-1.956462649901499,-1.9447317215194688,-1.8939541895744638,-1.8433689368990251,-0.41403045870773947,-0.41783330823363046,-0.42068683559867864,-0.4174691083035349,-0.7409618629698016,-0.7525540437298246,-0.7656357126130768,-0.7767422278958612,-0.34697694376586136,-0.34872134625522105,-0.3504234763821428,-0.3521294402564301,-1.3141810433294088,-1.1785211733550607,-1.0494487438881936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,0.2182178902359924,-0.23533543597588072,-0.23273937110366424,-0.2301386150143544,-0.2275333811912876,-1.890544795977051,-1.82266311708861,-1.7583296588017947,-1.6698088042071424,-0.4113296119441788,-0.41660391760994925,-0.4201218316692443,-0.4139269221048819,-0.7329459407199271,-0.7499052779291134,-0.7653350210513818,-0.7658814440851368,-0.34676013031442665,-0.3485128475007306,-0.3501986492975071,-0.3519251026323184,-1.174164568932629,-1.045433524504697,-1.7557027989664076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,0.6546536707079772,-0.23092822070674926,-0.22829951095466897,-0.22567026717870603,-0.22306033586410012,-1.769695397115563,-1.6894973668004012,-1.5887989953359578,-1.542531373566428,-0.4100493724726191,-0.41601547737284633,-0.4164446377761609,-0.4119658062838515,-0.730241820025898,-0.7495994404156341,-0.7545417881192455,-0.7610431850477186,-0.3465473329965665,-0.348283340842091,-0.34999017212991124,-0.3517074347825387,-1.041105115781327,-1.7500666461370091,-0.713914835683082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,1.091089451179962,-0.2264479999033719,-0.22379150841215872,-0.22115851666179562,-0.21857375563570441,-1.6378596892666677,-1.5230401789401395,-1.4644765087943439,-1.4036832674129214,-0.4094365937481992,-0.4121857538371434,-0.4144087755384659,-0.40950662463479587,-0.7299295910062589,-0.7386214950959838,-0.7497336216289685,-0.7547830510211166,-0.34631309466018445,-0.3480705244093418,-0.3497680946882457,-0.35147267224739426,-1.7455889551653,-0.7106697048111248,-1.2276364730297555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
